,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,0.029840051990663828,0.056547168300344064,0.08376139361341342,0.110054674046347,0.13598219703448938,0.16118881468232923,0.19011728009310286,0.21421475647999935,0.24384936921675168,0.27039174779602226,0.297363851857002
phi2=5deg,0.029776078098926448,0.05592316602016604,0.08384381271681028,0.11011259110971183,0.13755733430881573,0.1628570959680571,0.18830087082986752,0.21528481140895597,0.24115970048671015,0.27148724448686057,0.2915435052702432
phi2=10deg,0.029588872901802125,0.055960022017367,0.0829639772345987,0.11047812587671638,0.13788571913489064,0.16199575830490506,0.18759136931300308,0.21679591879239032,0.24091921650663417,0.26962685582281404,0.29481501559430123
phi2=15deg,0.029361964535534628,0.055865314331577084,0.08284544646518195,0.10950680508583585,0.13560684667396197,0.16202962637714924,0.18922538680668585,0.2167675936174001,0.24359988669983434,0.26777214662596666,0.29914641251603413
phi2=20deg,0.02946762863193198,0.055565042989212984,0.08266017060547419,0.10912530083331909,0.1360915209595808,0.16431725730109611,0.19089799467326152,0.2161149050307447,0.24510584697164323,0.26840649367785036,0.29887321955517604
phi2=25deg,0.029219637123621345,0.05618506123326255,0.08300675732073515,0.11004150315582537,0.13625025628940055,0.16351883213223212,0.1906535716304951,0.217044194096681,0.24411756372959836,0.27010123162334126,0.2966959992457186
phi2=30deg,0.02940229801150309,0.05580695292985059,0.08309271700926098,0.10992934852229867,0.1362978117044442,0.16421227882136324,0.1909138916301616,0.22021771711826593,0.24263117627425831,0.269181650148281,0.2996537906851763
phi2=35deg,0.029826034949274653,0.05669087469418624,0.08217211867492129,0.10915455991359631,0.13649729654610257,0.16348218587308821,0.18626982495012426,0.21606398184882747,0.2387352056604141,0.2689748864998384,0.2987471580873346
phi2=40deg,0.029664339006266593,0.056082461301209016,0.08371736595788644,0.11014122618149073,0.137616128647666,0.16133801161395503,0.18959830681848197,0.2158823142826416,0.243178824448815,0.26856356694261907,0.2954804397766681
phi2=45deg,0.029498251926139214,0.05513690008729371,0.08366372105459215,0.11095507937761294,0.1374664816492848,0.1630056258415159,0.19040341372766434,0.21448408581971437,0.23823873231386303,0.26786750170631635,0.2963049568108753
phi2=50deg,0.029797631697713975,0.056582068419668397,0.08257284931061872,0.11007480223684359,0.13770639201307436,0.16203354945585274,0.19211212766739275,0.2201671673907276,0.24080712143735183,0.27142171425820266,0.29368363033955314
phi2=55deg,0.02951004962280679,0.05659971119583506,0.08230892148150783,0.10929240738904453,0.136234347655694,0.16264948467856072,0.18993092840208525,0.21670292574229097,0.24525507364374977,0.26992483956679064,0.29824643127739403
phi2=60deg,0.02989247528081685,0.0566330013234732,0.08317595925374509,0.10900784524496147,0.13609958947205156,0.16377043158458154,0.18964615121032544,0.21599726850481596,0.2435350783571193,0.27105961796133105,0.2959333922665902
phi2=65deg,0.029517652739191116,0.0559253016433277,0.08334946851725232,0.11000406489830176,0.13708336755811162,0.1632603449132341,0.19066230803015102,0.2153743555328634,0.2431961376594296,0.27027763926584303,0.2976456929220748
phi2=70deg,0.029276626360944583,0.05664934658201616,0.08375307598473748,0.10899112155246785,0.1363002938021203,0.16517257422469828,0.18833969805257664,0.21643312120720304,0.2454345266548839,0.27225362399561337,0.2986066581843796
phi2=75deg,0.02971521783646671,0.05613779506396617,0.08339483598934648,0.11025221483949284,0.13544526637423565,0.1642832744063586,0.19155779277733925,0.2150672531911548,0.24188068934365925,0.2729304409613884,0.2965271918696251
phi2=80deg,0.029696871098146616,0.05661381113871248,0.0827099240357116,0.10937851432168852,0.13485084020047425,0.16243759163749158,0.18865582431633687,0.21583405615596626,0.24497873984895185,0.2714925322691673,0.29881740535407614
phi2=85deg,0.029878943520078825,0.05656815405721464,0.08261533360226528,0.1092494604398397,0.13698634447196284,0.16360466717135896,0.18870859410203863,0.21502414447028195,0.2426558789797392,0.26893010043600585,0.29588641763319495
phi2=90deg,0.03020376549416631,0.056607732927633124,0.08308526593336198,0.11021784049673274,0.13631907991297915,0.163495158498418,0.18981252673966326,0.216192880831265,0.2418988291974153,0.2700647130941537,0.2950472561693721
phi2=95deg,0.030004899331494684,0.0568052518830611,0.08350936472960512,0.11042559722996664,0.13562342146413972,0.16185347790057814,0.18764148727592,0.21670392717033587,0.24487585127216036,0.27108669535620317,0.2970724497316998
phi2=100deg,0.030022280903388085,0.05644234676556767,0.08302084307642886,0.11062032941876478,0.1376277888059937,0.16768522923881005,0.18998799507630468,0.2166185394739527,0.2450317606168233,0.2703184950598176,0.2955489956430918
phi2=105deg,0.029888759000552895,0.05613276726655085,0.08411967929894286,0.10987110208819874,0.13732919483414527,0.16420936627345528,0.19136870692585997,0.2180186747409117,0.24543971560237526,0.27166517381402666,0.29563297868047606
phi2=110deg,0.029781250625667183,0.05581312277905921,0.08373788193083698,0.10902982746646868,0.13552836150269748,0.16357834573865504,0.19244793253399953,0.21712380139453133,0.238967865343627,0.26915676674951483,0.29494331921134764
phi2=115deg,0.029529875836256263,0.05642406666501791,0.0820994711804007,0.10869162364214027,0.1351583622264549,0.16492249457633723,0.19188163716894482,0.21314960094525331,0.24222091703438625,0.2681219519998851,0.2975699480089784
phi2=120deg,0.029509592796524365,0.05636056080424175,0.08327330867033017,0.10855397248488721,0.13371174015938775,0.16475560508243317,0.18802567693435213,0.21559731518077777,0.24480450062269593,0.27108326156223583,0.2984576991691895
phi2=125deg,0.02979380438135903,0.05614589157512491,0.08293084291410692,0.10962191005874254,0.1353439067170655,0.16218301739937044,0.1869012846365928,0.21408257325157476,0.24449841998518537,0.26660604659193887,0.2938239951562264
phi2=130deg,0.030164707088067778,0.056634750740959396,0.08355065180170179,0.10954821379479907,0.13527321814352503,0.16267452219486853,0.18988436643816511,0.2122546313538917,0.245173480154591,0.27152155037747366,0.29785928710058973
phi2=135deg,0.030194857755628014,0.055463766861794495,0.0831056493027643,0.10965940008676005,0.13518414510735605,0.16344550972568878,0.19010515194888827,0.21560092138256062,0.24432015731017945,0.27638259400347,0.2958112448788383
phi2=140deg,0.029659455553783153,0.05633873640021134,0.08367378095996321,0.10980559760239006,0.13663019248487615,0.16350846270881195,0.18980745741185734,0.21762219799666846,0.23960638879139307,0.26954612636081837,0.29157129586467107
phi2=145deg,0.02989220534944571,0.05628180500852635,0.08178181417780307,0.10921410614997945,0.137826769263505,0.1639801444620684,0.19078821892761896,0.21429124220456228,0.24072551405875392,0.2693391648158902,0.29693056489111375
phi2=150deg,0.03010137800110959,0.05677645449299643,0.083780227677202,0.11015616043381421,0.13539555860361419,0.1610458367853654,0.1904089403774889,0.218632773868906,0.24260397071910308,0.2713971092819229,0.29513077357516776
phi2=155deg,0.029927305562730246,0.05641250243877472,0.08184579312715547,0.1086692445357039,0.13542324165218936,0.16055735374586963,0.19089329804375474,0.2131566785393924,0.24309175749808948,0.2681933262825674,0.29829678176585095
phi2=160deg,0.0299036695282453,0.05631293931809693,0.08324688847284105,0.10910018843969857,0.13568892191947443,0.16162246935962757,0.1895698417798697,0.21530998227307385,0.24360612657959319,0.27000196690300793,0.2956279880283564
phi2=165deg,0.029684350566298576,0.05623625377953082,0.08298834799089892,0.10960072775807483,0.13537411146719855,0.16547899357925266,0.18871524708325732,0.2138488778679908,0.23988131782790237,0.27015019715895144,0.29112621543043005
phi2=170deg,0.029900204224034454,0.056200753581945095,0.08296517591691581,0.10932035132246389,0.13566760669936245,0.16378905158229412,0.1907491871480447,0.21670521027892886,0.23977683914721756,0.2640785874186824,0.29802463104990173
phi2=175deg,0.029305642364867462,0.055829820323190116,0.08337282400473658,0.11131453411959377,0.13801131626828458,0.1621652985632761,0.1901705362950949,0.2145387835198486,0.240489819983208,0.27008742766359595,0.29534083694019914
