,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,0.33919125809838313,0.6351967513575802,0.6481914376227005,0.7453204261971331,0.8400877292678448,0.7718766179559156,1.0822474294687376,1.0849970706373986,1.1763358020871726,1.1928517781185688,1.2583795020766635
phi2=5deg,0.41240186250903044,0.5815638324744272,0.6690809692152095,0.7942741053774736,0.8806278865075177,0.8966185006243732,0.9987711565649855,0.9587277840011916,1.2016920682932026,1.2963396611307862,1.2849275988783235
phi2=10deg,0.3793530978265487,0.6496374586423501,0.6127351099513554,0.6575496664668634,0.8019284043727977,0.9756046202175552,0.9626275877829,0.922210900834636,1.1487769955629803,1.1799395384588207,1.312564074750422
phi2=15deg,0.288605555749351,0.5080660456532504,0.5463111409128869,0.5764424890514821,0.7513427836868685,0.8008064194483788,0.9748231701587242,0.9685456065720439,1.1907941604102374,1.3565107742926612,1.35649037704039
phi2=20deg,0.3176666452616912,0.5800124494259382,0.6310719816343466,0.7996382793055821,0.7334597940305985,0.8964286450982693,0.8793737727676314,0.9634174512056619,1.1738268415480713,0.9953502978063424,1.2934607570073942
phi2=25deg,0.3640084862297108,0.5685858631931335,0.5938526721154087,0.6547166153089261,0.8251683772132701,0.9366333597723964,0.8600919022327291,0.9433449173066188,0.9553308836757219,1.216345834185998,1.2907449946034601
phi2=30deg,0.2784826475814004,0.6212562781580635,0.7366801371039058,0.6388525136149665,0.6725814060308757,0.7814331702065509,0.9832730010332087,0.9887021488403382,1.13200982363733,1.2308124750596727,1.3542769611475114
phi2=35deg,0.5491655582016648,0.6438498090674987,0.7684684235613428,0.800930336940521,0.7690027655422202,0.7205532312603982,0.7918695277382675,0.9823001308532371,1.1120413824340956,1.0774360723992507,1.266511705744592
phi2=40deg,0.5576037428884577,0.6015185843555031,0.5609236471360566,0.7274121729726115,0.6108360275065214,0.7695439044574117,0.8629746059989083,0.8685564948264028,0.8288258896258913,1.0534527654202082,1.2194861155830177
phi2=45deg,0.4630354600336961,0.5402731958901761,0.5500352210972732,0.7459245072641449,0.7741885994797446,0.8038650742929629,0.6814462835731074,0.9368908930632616,1.097820920271503,1.0981507702602977,0.9275126608530959
phi2=50deg,0.528410095845171,0.48859001145315073,0.6937588736842244,0.656948941854198,0.7353368400735674,0.7143805313953955,0.8456983875451547,0.7609915289364277,0.9536902318788814,1.1452085078927388,0.9813350611254128
phi2=55deg,0.46886274598325794,0.6259002828491891,0.5968957718478878,0.569995161469441,0.6118372628990718,0.6905189350084262,0.5250878199811844,0.8928366522191835,0.9089181862195117,0.9778457793664765,1.088032005385437
phi2=60deg,0.48438748292612477,0.3987201686881079,0.4987378376194975,0.4966298268040248,0.53594727366582,0.6778728447222884,0.8302658200742341,0.736743190675913,0.9449888854284092,1.068896529737816,0.9836693230192415
phi2=65deg,0.5188333520828294,0.4361480292241353,0.4575888121584759,0.3940684677977817,0.5826480925727058,0.6057329847077861,0.5941132588504372,0.6906880620812164,0.8304742478747,0.7244750471371688,0.7575920597388519
phi2=70deg,0.41153517835602216,0.5257618718734909,0.4585202041544747,0.4986584641478915,0.6259548542514741,0.5997673462954065,0.7689874983973279,0.6528971777540233,0.6549713965393167,0.6954182507395608,0.7369541691331563
phi2=75deg,0.4549761497715963,0.5650306319938254,0.4192911558178194,0.5241785280458195,0.6555447071521634,0.5204604615336024,0.7244147874816029,0.7371298914605342,0.5573989616192705,0.760526729252823,0.8725039203857792
phi2=80deg,0.5146349913087818,0.3427406414691241,0.5511489268348351,0.3962228385934976,0.5944513310321087,0.5219956223836713,0.5655276739547741,0.6337516304950794,0.7171340653629761,0.6524022822823508,0.7272304346799032
phi2=85deg,0.48460049480735723,0.2709547890421806,0.4127202518038251,0.4564556753004947,0.5255301751245671,0.6014218503937299,0.4959968450042638,0.6109115694450065,0.5573973685188056,0.6416236148244687,0.5589598053746068
phi2=90deg,0.5365183359535841,0.146991323659992,0.4839130623322925,0.36508993377068943,0.506897794681354,0.4902140026643318,0.465548400069542,0.511607704023171,0.45953933416012305,0.4183864472421259,0.6363519029212483
phi2=95deg,0.24836864112875734,0.30217643571107544,0.411965000396024,0.41421238020626294,0.42568652767583526,0.5116905327702321,0.46474402862948416,0.3493210698143221,0.5462201115165728,0.5180322021509642,0.20637462490470515
phi2=100deg,0.3059486074219553,0.26804018318020617,0.4037742227725216,0.40365331796706005,0.3640815485106419,0.2608929310847534,0.20380600923374903,0.2539974657480535,0.22518128356866196,0.3146258442987042,0.1370583059159225
phi2=105deg,0.38964431347918094,0.19192083800463156,0.4014550563704091,0.3143571921785959,0.24531504433459528,0.2757310718152155,0.31250155301134974,0.2766331453921911,0.2706703517795175,0.24727568945043377,0.2826080514128817
phi2=110deg,0.3011000158260373,0.2999201144106909,0.37875365261330707,0.35423585768321963,0.2455705850882568,0.28935258260814845,0.21091565935276257,0.17447766428401046,0.1733950434094087,0.2618204181706485,0.04151435171622353
phi2=115deg,0.28380082170227894,0.2593232934967231,0.20079939898742172,0.30497491378135955,0.3354513531439256,0.18460882564258707,0.09001593216714188,0.09355665201371899,0.12598296456070646,0.17296774983589458,0.05138718084098759
phi2=120deg,0.37076762203627034,0.4893173962192181,0.3795173846136928,0.17497423091572184,0.14791740767362427,0.04040013585855107,0.06758442531347608,0.0745299934581416,0.012292335732917437,0.1325083042323527,0.07732243852687315
