,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,0.17552107594591987,1.0172771517414874,-0.32854137826480356,-0.6397532029179289,-1.2602951409643184,-0.372352299242479,-0.7816341869421495,-1.2146853340055173,-1.1866187969072617,-0.6959312532639018,-0.9806899915674463
phi2=5deg,-0.04679917096217941,-0.6625748586953812,0.2903205544042082,-0.29850417111245675,-0.4174047120313788,-1.5631778921245165,-0.11090386635029387,-0.958671001268919,-1.1100233102418582,-0.9105396967586553,1.164893013328315
phi2=10deg,-0.3174251309844761,-0.6425127924409474,0.4588270487855965,-0.10404649937938686,-0.6466337674644522,0.631433062369138,-1.0610314176137174,-0.5425146194130612,1.1313439718280185,-0.41065777511733936,0.360857331754576
phi2=15deg,0.22222542215237548,-1.4351357405831902,-0.45536103747770373,0.18529353700790413,0.19875832910048236,0.38290019119532914,0.23277271388703324,0.3725991289411341,0.5740751609324257,1.5842216874442934,0.5091876504953627
phi2=20deg,0.1678427150723712,0.4971873418344965,-0.8976086770860897,0.5005504453222308,1.2058410295845465,1.1095323933269066,1.113921041709131,1.6782132645471832,1.9966625906720905,2.1702966681268645,1.3739151874980298
phi2=25deg,-0.5012560567057676,1.727240965185547,0.8276581556282779,-0.47334578310039843,1.1405920408065504,1.2892332423040107,2.096982096217448,1.6261041277261776,2.6220279893621683,1.1798970479548103,2.5548628598324723
phi2=30deg,-0.6569438118345633,1.2659782312855434,0.0047611730343475895,1.3103304838521477,0.556282937240652,1.6820900250596627,1.1845007777917758,2.2065491176362846,2.9499148724116258,1.1909133939622765,4.184982958484603
phi2=35deg,-0.9014402664814521,0.6355785784258039,0.5367546868952304,1.240178487856149,2.081171129947775,2.7096975576658138,3.8607044486451056,3.290120898533258,3.6243932128000766,2.7949765047361574,2.460460376649567
phi2=40deg,-0.5765172503653396,0.5657924147951725,2.2114236313453737,0.9587293081383504,2.3715837057365037,0.26298005328801594,2.345531097207232,3.31016366067145,3.7723314751958497,4.526826736027802,4.395529902936838
phi2=45deg,0.23545781390975526,0.3773589437497464,2.821040480338362,3.490822183141787,2.487863129160012,3.5967854720844095,3.8339691777969107,3.5698378911338353,4.2666043312419255,3.538371587684982,4.892277560819872
phi2=50deg,0.27202912841818305,1.7521831326324548,2.7260147813480486,2.2676381272501818,1.6966783866522095,3.6201811679343088,2.5695530258315937,3.93928556876699,4.528858793633607,4.11457765707494,4.447296556502343
phi2=55deg,-0.05746440755691241,1.5951498114068987,2.3308496488457577,2.689751560564606,1.2564591810775703,3.3474295646312964,3.7660887541820682,5.223939215689389,5.627291392287987,4.417995706686695,6.04801560341846
