,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,2.809300650319724,0.38950784221508183,6.102454603293202,6.021801815606512,6.05107160301493,6.116957541200701,6.154266003157509,6.185044100376716,6.171843337993987,6.0946913209027045,6.229752145464972
phi2=5deg,0.20204306240658332,6.227316871682874,0.0075828051487017165,0.08066552888423371,0.010087418635341088,6.031546952596666,6.274002998466244,6.0077469356058915,6.094317953639565,6.222560326020802,0.22567471802233982
phi2=10deg,1.5146009765351558,6.067255759101477,0.28113768670206496,0.21695511008193188,6.2019100021707745,0.33137857323763004,6.142435239615549,6.119571881012234,0.2233393683146664,0.01226410531200691,0.2017964050590413
phi2=15deg,2.3486736229821576,5.586151700056935,5.636148570765199,0.2522180996581708,0.14863572255292423,0.29451671140671265,6.28021122383481,0.08125823472935134,0.25892516054084685,0.290584595750216,0.019281192363306148
phi2=20deg,1.9761081458932324,0.7079938249934188,5.925537325169628,0.10343499228714889,0.3447957600959499,0.426114418298834,0.2945913879329468,0.35746102841481014,0.4006759749573924,0.46672970191491137,0.1458280948570658
phi2=25deg,1.609912550328037,0.8470591489400241,0.5393295709037553,0.10452943787513541,0.22728321622596223,0.3122085873046801,0.44602181315474354,0.27254030821273423,0.4947945150595353,0.20132529072051764,0.41308659726457864
phi2=30deg,2.9546402397525866,0.8208141493600776,0.13816402107136833,0.23527152419295647,0.38591394042675314,0.5243061246398585,0.2640278549637959,0.38891125968747636,0.4979027758797532,0.2781137593991956,0.5862176543160919
phi2=35deg,5.940857639112874,0.27124097215381593,0.05959347389573469,0.3536170851083976,0.6493842041272476,0.701137565755063,0.8767679793945566,0.6153589679535876,0.5296720662976685,0.5614576693543691,0.4459369496819297
phi2=40deg,6.17735119759801,0.31036074569559985,0.8161919001919018,0.0352361796007867,0.9441114671965232,0.2226544356994191,0.5633736960328024,0.6994432170747839,0.9335325508417266,0.7721772421235733,0.642901715907962
phi2=45deg,0.5941967956362626,0.28705848043318405,1.0793791764137903,0.799825940229443,0.7809657300794614,0.8347982527645504,1.0496496362260197,0.757607792534891,0.7289912664303516,0.6737449128772574,0.9504100784475072
phi2=50deg,0.6793566621855678,0.8113369296954732,0.8377060808141786,0.7776346413412365,0.524094711838216,1.0166311288757603,0.6025332575184975,0.9222021616677011,0.8281470657183445,0.7020869783158455,0.8776173212687032
phi2=55deg,0.8914760569103367,0.9350424406326614,1.1556908123623324,1.0686596897722787,0.6028191484049753,0.9378117303541135,1.3090340594591645,0.9879491106105902,1.0067214795057968,0.831536515400349,0.9481124546229576
phi2=60deg,0.28307855690164113,1.9133309067377688,1.230512968104527,1.388415669443149,1.0257320534079848,0.6937406486883415,0.7592097784219333,0.9896726118547432,0.8492655523786349,0.8811217360046822,0.9468963250720525
phi2=65deg,1.0320617956762974,0.7226849828183647,1.34625739780126,1.6715152445589236,1.1881394611281388,0.9581654828444448,1.1190405573587634,1.129125629179693,1.053233944371611,1.2663512228484328,1.2198795662380912
phi2=70deg,1.678515037618019,0.9847102326062029,1.4700243963116084,1.389945625601558,1.1357884765524136,1.1596542213765115,0.9388609062819161,1.2818314698704392,1.203746707711659,1.2495620729983454,1.239523193156134
phi2=75deg,1.0940195183195092,0.9866097155277939,1.4379214879402924,1.2295068677620928,1.083243020092316,1.2263996421476917,1.1262874641127196,0.9923492277889311,1.3549779138827045,1.2479578427252678,1.1410113161918798
phi2=80deg,1.0169995240793661,1.798680961603313,1.1501263665094017,1.562435301402503,1.1409497443902845,1.3668743471018916,1.3146988830973443,1.214123071958067,1.2889150294453964,1.3305129707346224,1.2882424849930496
phi2=85deg,1.288585230178732,2.443591081537228,1.62350593996354,1.50006045431278,0.9619852297806509,1.2995203892118592,1.505009584629369,1.3871359763087325,1.4102822432792024,1.348992972736646,1.3909356034257783
phi2=90deg,0.8566001916092102,2.401823697418804,1.2635830772828454,1.7627075983937541,1.2594144262276281,1.466537934709485,1.4910426604741385,1.4140954486351949,1.6094750503054933,1.6844734801122017,1.4662889142262165
phi2=95deg,2.4499616028385933,3.5901286438216027,1.6259641998868173,1.3212832212123378,1.5182316380153291,1.4197212459652806,1.4485558443692967,1.652077082517672,1.4607148330539432,1.5463802214932796,1.9010433864844145
phi2=100deg,2.494197123069775,3.0008418359259426,1.5861730615887941,1.6118575090045146,1.6694717521731308,1.8401204075359097,2.022928706835997,1.9150247421399937,1.9615059076160388,1.7834560902224266,1.9240500659431827
phi2=105deg,1.8253590147801801,2.976815218540371,1.651904840947821,1.8568429971177758,1.7559849750721583,1.9275027528418918,1.7644092204440336,1.915160461824308,1.8754325001860395,1.9331830961351744,1.788523366062815
phi2=110deg,3.6421015317488523,2.527850426604879,1.625713785563557,1.74265744418121,1.9354670581419007,1.8207565211283503,1.9451590085245603,2.0479167808282424,1.96074843140172,1.801650141357482,2.121207882205006
phi2=115deg,2.8639213932135177,2.3611316693873055,2.1381115223877956,1.7343601316582087,1.6844099911560888,2.0736937944394858,2.012741023052654,2.0882449585014435,1.9763721220869879,1.9039054343748634,1.9940990159491492
phi2=120deg,2.154518221176997,1.0166161068050215,1.7650778140343044,2.26284543923206,2.3724871097541747,2.167229327639609,2.069040460719828,1.9874691041504156,2.0846517263838935,1.8925091714552165,1.995397777350717
phi2=125deg,1.8852284189624304,2.2432959184516315,2.1351782852858974,2.150237942343621,2.191968526969528,1.8166853492761925,2.27315500657814,2.227901431131761,2.382636901383975,2.1681866166002375,2.1185593222080037
phi2=130deg,6.0416926212858435,2.1705403555688205,2.147953584470598,2.238736548745126,2.5921104056034827,2.210426059372436,2.449857809552353,2.395534390190946,2.3630600265234336,2.4229871126166223,2.3470468778873745
phi2=135deg,6.1127490314464685,2.404656738191235,2.6224437781131344,2.426838176293832,2.4202955703823252,2.283339233116602,2.41186425645837,2.2143628794981676,2.3611587786786066,2.4843651410142895,2.3475437731727635
phi2=140deg,2.239404800584818,2.217108217519021,3.0608867718525974,2.795964691942579,2.7001580461418535,2.4513316726010728,2.3906828099168442,2.447732770302521,2.5127484853151447,2.4812309929713807,2.501729531336301
phi2=145deg,3.1351908902811605,1.9369895942980098,3.130911909493721,2.3735789083348036,2.685973895244785,2.4852366292097816,2.902167294929402,2.551989752923318,2.4111193399635322,2.541354075169675,2.544862021240174
phi2=150deg,2.849386177425049,2.342870768034083,2.518935521882594,2.3197868331612876,2.7113178346913442,2.8148544101320074,2.819531402289047,2.7623722747543913,2.7288162012439487,2.5931505925712837,2.686852009884694
phi2=155deg,2.585656450838201,2.6880931966986763,2.502144061429626,2.9122352809876606,2.756968225901353,2.8668093083077113,2.7894404350617634,2.76990854737774,2.5974638484554884,2.668372009595659,2.7334744030748244
phi2=160deg,1.863118506953965,2.7105997216053805,2.7186324034649276,2.977104846816656,2.9447222026622035,3.0027432772439875,2.9221355980606423,2.794859307976494,2.7580372804934457,2.7958558696044813,2.7119830089280734
phi2=165deg,1.7844492402478656,2.5187328178972117,2.300285049528336,2.8030801268985437,2.939508857598775,3.2849170142239643,2.723421551889704,2.924382286167358,2.8734139251583524,2.8341420081036666,2.8097411390714293
phi2=170deg,3.1553115212288687,2.812593401108172,3.0819126256687683,2.8152040693048144,3.197384070286117,2.850195733931345,2.903448091941773,3.2064387459165684,3.0007150051271476,3.011252909987705,2.996487033694492
phi2=175deg,3.0320443186982113,2.9395020725433065,2.8903848220093313,3.268746076600369,3.5818060250508004,3.0454576781705986,3.263061997358894,3.125104356093518,2.9969061129659824,2.941001311922831,3.0293349033172263
