,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,6.215338667867873,0.04599608034497673,6.230292984400159,6.132173728779611,6.146269458235554,6.199256261687195,6.279980921074375,6.2455438753288375,6.185690226080972,0.00046850571856945673,6.166662555246096
phi2=5deg,5.785286900767729,0.13349921128888534,6.159024949592508,6.132187860319931,0.1731432226125623,0.15963881458562548,0.07509481013232296,6.261780369800664,0.013516530257235612,0.14088632269707743,0.010178949089795473
phi2=10deg,0.31282913699923987,0.3325552253008525,0.126343122514725,0.13541445848448555,0.24359021778561102,6.2112243239305105,0.03189416088940982,0.13926125847963675,0.08179049072489168,0.07403849584174715,0.19155605970400727
phi2=15deg,0.45649779302259597,0.3273281822896927,0.4106823662194699,0.3223937472566927,0.22330387439768073,0.3232478281055859,0.30850350535958065,0.2680152470731846,0.31867518430171315,0.32860988382515083,0.37953484447756014
phi2=20deg,0.24363172664947585,0.5962692743075829,0.44600488093689056,0.2088314843347635,0.1870184127635418,0.45815092525156875,0.470700829763906,0.34206123906783564,0.26592885475789596,0.33186932686324927,0.330315563234825
phi2=25deg,0.36043586106697556,0.7079502902749099,0.4663037160365322,0.4171346507095175,0.30143085957644516,0.34905406164227987,0.5312810991875285,0.4672797077401154,0.4336305753474259,0.30614800768051154,0.40512193468845875
phi2=30deg,0.2532962161763239,0.6805385684881797,0.43507061292449817,0.37363452883794535,0.5995542339872142,0.6569673167751989,0.5050531470111397,0.4835671586350979,0.43869695570086226,0.4771089225228593,0.48119831006634484
phi2=35deg,0.0005888397844889834,0.4895616357592745,0.5413806252334007,0.37777363169598616,0.6189527800804673,0.700374510052797,0.44959833446293296,0.5781375860505972,0.5385266002952204,0.6391740278318735,0.5769955619953276
phi2=40deg,0.6899182077862696,0.9256346560371276,0.859302319780176,0.6144480388550473,0.6017968619408544,0.445161201518479,0.8419669217146349,0.7533791176209903,0.610364098568553,0.6690656504359189,0.666649425948744
phi2=45deg,0.9312641551337325,0.938623680132444,1.206497181576784,0.8239385986096547,0.8623393917777921,0.6754000010071991,0.6955501190556722,0.7768610579274982,0.6747812330751278,0.9415395173666463,0.8820325222738795
phi2=50deg,0.762200543714773,1.0361120632932932,1.0260068641371216,0.8413720826768382,1.0666838907467824,0.9865910332560844,0.9250553073933127,0.9231188551712216,1.0023566272663826,0.8040483175173747,0.9670848952173924
phi2=55deg,0.7483984258436674,1.1707505394732023,0.8564415108236888,1.0790419855285789,0.8980921206025659,1.0193556686433394,0.8954818029021975,0.9135741951191595,0.8977701856436949,0.9814865730989933,0.9675830276415177
phi2=60deg,0.8672266930239727,1.1605404022760022,1.058768499576941,0.774526269044444,1.0352222194667133,0.9719489500868795,0.9765562216297118,1.0234188467457999,1.0760981776565235,0.8984971520796526,1.111867508160778
phi2=65deg,0.8936621610432506,1.154817698110474,0.8509532037442442,0.9104912182828976,1.1892604792240926,1.0527615536180026,1.084194783850092,1.2411134264603314,1.0455501278627535,1.0805213189484495,1.171163423845176
phi2=70deg,1.2404967183429616,1.3028692993630568,1.4329418233470201,1.1401452536221257,1.1848125700483703,1.205427857390315,1.187815449432432,1.2634198890617208,1.2414027823747227,1.16782383435639,1.2013748934719097
phi2=75deg,0.8063139301251676,1.4390815319906944,1.6366547539758736,1.100277653339475,1.2619599919081887,1.4858433169571097,1.327254212254952,1.3166320718134688,1.2016095569282392,1.406925844813168,1.3090002668422343
phi2=80deg,1.3190961122640485,1.5888800645431684,1.285547875412172,1.2234660054671769,1.3926663850791041,1.3312255835906952,1.4587833013237692,1.4627147440385204,1.422859678092413,1.2875108845575565,1.4722497597643975
phi2=85deg,1.3449219802745782,1.3670209571332947,1.642121485867005,1.3883123669255193,1.4269615597850285,1.4077491545757375,1.514828192895183,1.3767326877591086,1.5311413485823395,1.4971783345007685,1.4288693455746564
phi2=90deg,1.120989897390891,1.4651733375736253,1.5861805085751572,1.2847826117639534,1.4940791997220306,1.7446361783560114,1.612085966086532,1.5074097450381516,1.526843129389054,1.4220146056712852,1.4406540403673722
