,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,2.895547721047992,2.9709650672614254,2.8733861718242943,2.9730181361527936,3.018901717983606,2.8775546388373923,3.0650751692672156,2.9753295706649876,3.001538311723988,3.034913555121232,3.057519270788376
phi2=5deg,2.9033622802207875,2.9390378510802737,2.8993827960561855,2.906519970612174,2.96177976790836,3.02238501248876,3.0789403861439526,2.9705978111045006,3.165002745912922,2.999776236614373,3.126153876335568
phi2=10deg,2.9323782266442313,2.9684977367900154,2.9328457468679043,2.8779899466495653,2.942226695700616,2.907396006214847,3.0549627227587832,2.99039328363157,3.041156808368995,2.9966427968239167,3.111329299131099
phi2=15deg,2.938201276597898,2.872528479379281,2.884956705968364,2.94414376689668,3.009288058408087,3.031059438406716,2.969890845198772,2.8843753663515423,2.9670635159538645,3.0985843747758115,3.027683313525362
phi2=20deg,2.905042832637941,2.9660107626779073,2.8769408043569484,2.9511351636247154,2.9305851867513315,2.9348786801532345,2.9414242140965623,2.9242536502732364,2.9985929443109924,2.9816273135725946,3.1063642094286346
phi2=25deg,2.9608082578567534,2.900232216306497,2.8951701453584366,2.9108335357890045,2.996259648460466,2.93002084734331,3.00254622141835,2.961437527517046,3.00135978840464,3.043598065481362,3.0474346811921365
phi2=30deg,2.949850968579341,2.978843390526558,2.8892336957791014,2.897262574212989,2.9511343484348544,3.000890193270462,3.0028990281223136,2.9643378126356206,2.9895158024083726,3.0135258436934453,3.059176584194375
phi2=35deg,2.9096884799698577,2.9153476900770094,2.966923666893341,2.952866279056595,2.951264363065704,2.8992780100116056,3.116470071847654,3.0366337414427127,3.034844247678353,3.025479413660033,3.027669149860719
phi2=40deg,2.965730229753442,2.9172562438987413,2.8548879593106897,2.890756458144981,2.87929186395911,2.9625633449210733,2.953084410969477,2.9781170259621152,3.0405874290936934,3.056264187352699,3.099078565248335
phi2=45deg,2.929313517933163,3.0057745041764017,2.987286974476403,2.924365939354683,2.8972376001752647,2.9729877930813675,2.92359359095546,3.155585703572945,3.0075776693418295,2.995166313666294,2.9978351655389472
phi2=50deg,2.9002793797336297,2.944326230397544,2.955435513604513,2.9573721301149485,2.9377267096940227,3.07179421505279,2.929600334897049,2.935464250782287,2.9898338030755163,3.0032967085330915,3.0878564056836124
phi2=55deg,2.968601153403543,2.989418645548434,2.9637942495891023,2.952801752696698,2.9491406162283784,2.9955569702735154,3.0104862774817764,3.0225096677976753,2.996969951850432,2.959067092146706,3.096343815963767
phi2=60deg,2.882188678654044,2.9177985334903664,2.967396701749079,2.9578148439186633,2.917412988960371,2.992293078911721,3.030357567666324,2.949904569633791,2.97361788224216,3.085810216743975,3.119664383828927
phi2=65deg,2.925825470493648,2.9289368426494136,2.9372599769061805,2.9333706600952305,2.8605158453061605,2.9097851131356145,2.969391787694773,2.972600745273351,3.012978217405884,2.9956878987300124,3.035531837989054
phi2=70deg,2.907304063442479,2.9563211225072017,2.886372791555482,2.971203391611396,2.8987551496221595,2.8917203601208143,2.9279115608769986,2.991490092100407,2.9764615120979654,2.9935601609968217,3.013296370538932
phi2=75deg,2.900812702498751,2.9392878374437004,2.8833721312520018,2.9266100170700486,2.9780470379954025,2.9480240867966803,2.963911470136921,2.9158287928758093,3.04911945167617,3.007283022206123,3.1188371065752314
phi2=80deg,2.905570707884852,2.886183741554513,2.9466445572336557,2.971504447411143,2.8972221830097746,2.9296099866657537,3.030488309498214,2.992232012374301,2.9743202582693797,3.0467521658529666,3.1026385981318496
