,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,1.9280742968774245,1.9855029848262418,1.9685498585429797,1.9994673398266034,1.9920194432485405,2.0383231975814624,1.9482206609112112,2.014483292478242,2.067387128369816,2.1082904910098845,2.16924415432434
phi2=5deg,1.9524950503628808,1.9438856801880153,1.9864306448917626,1.9488815436133278,1.9711339784991877,2.0325552328998793,1.990412368199589,2.0148669817792397,1.9873956526503214,2.0737177430760925,2.115393131603385
phi2=10deg,1.907725426111198,2.0267374799738325,1.9155220683871557,2.0081612395325985,1.9816325054209454,1.9301522848524408,1.9870403740446863,2.077306733799494,2.0959074313331025,2.0599182492539736,2.1101497402193745
phi2=15deg,1.9056708406321747,1.9272846801715988,2.0186106737905,1.935251412937859,1.930698192667418,1.9324966717461378,1.9589897512626848,2.0528153299252425,2.018278102651963,2.0661928573864614,2.073003831947795
phi2=20deg,1.9361428578376265,1.980964925920595,1.9514860960826053,2.0123674842857877,1.9689793672585825,1.9988900644491174,1.9467672802758695,1.9966946426647567,2.0322651503720293,2.051652314351967,2.087878203266909
phi2=25deg,1.943322618741915,2.0252222720819333,1.9102034540226178,2.0059140749508675,1.9754820064715473,1.9875910077913161,1.9843007442276575,2.033181078171796,2.1405185826605737,2.0567085574592623,2.062117736231284
phi2=30deg,1.957890987150472,1.9760090659701581,1.9678932925359542,1.9879590104021134,1.9410090710720946,1.992971697296352,1.9583719702636273,1.9532771279331667,1.9966565537164525,2.091755838871774,2.150541285986357
phi2=35deg,1.9545022803136685,2.0259280351850055,1.975261770279988,1.9490028243055086,1.9882597507188733,2.04725806375101,1.9733151219659508,2.0527751084553176,1.9945957692393823,2.1133047520314836,2.0476016235204613
phi2=40deg,1.9314337918575357,2.008799654265416,1.9230583685649647,1.9333857156501262,1.962633481787396,1.9545000654541305,1.9839753582238786,2.050115185248618,2.017484029071295,2.019350272777716,2.123613707018551
phi2=45deg,1.9327639606017506,1.8966234091647676,1.9546442657359329,2.011875254951834,1.970100382275683,1.9054309350701342,1.9666319647151345,2.0768984821719427,2.112573826154593,2.024052955339654,2.1463821121372355
phi2=50deg,1.9481186006270224,1.954698148550344,1.9849996141811768,1.9983607021172158,1.9623330513393067,1.9928720652946004,1.9975107131768426,1.954982192547396,2.110475510704064,2.058273158974672,2.0677604419934283
phi2=55deg,1.946327083585559,1.9812147551958277,1.9141645643123688,1.9858187456977938,1.9901401424187672,2.0107283609237516,1.991010414024734,2.0812591911784417,2.070238725136387,2.0797206655560636,2.098731668798263
phi2=60deg,1.9743431068554727,1.9327797986191322,1.9592566978964838,1.9563755322214522,1.9228572278375902,1.97501393463505,1.9816490435062393,2.0556127467784444,2.0253864522322758,2.031848009096553,2.0501586307745363
phi2=65deg,1.9227465586586616,2.016956420300019,1.9175867406396274,1.9524288196216466,1.9386097842559258,1.9870783483123018,2.0280676225982828,2.00956634095727,2.0157351701837847,2.113898205264036,2.082451288495462
phi2=70deg,1.9440370700420275,2.009849623691279,1.9053802049586255,1.9205465672427389,1.9346437839249533,1.9630851639355056,2.0547286001184273,2.0419170493531453,2.098975969357838,2.0414736154457103,2.1723084469981524
phi2=75deg,1.9721161090632062,1.8926348454393798,1.947861709890707,2.0110376755777537,1.9680831057496035,1.9320520766471472,1.9833844915266279,2.0641270271677534,2.0304942228658645,2.0320316821930335,2.164034440832633
phi2=80deg,1.932699333841149,1.9842836236057744,1.9937756881646393,1.9882333787540785,1.9410144753048801,1.9707152612257786,1.9785361507048518,1.9942403662405357,2.0666699466860674,2.0628756371411514,2.1353981067965466
phi2=85deg,1.9365793631078985,1.9457874283640264,1.9267156994321688,1.947931950663615,1.9192948506445284,2.0200649778839743,2.039888768598384,2.0661885150136534,2.082583864884712,2.1066867170287336,2.116462943680366
phi2=90deg,1.9839469715605356,1.9846869698106007,1.9296626355304003,1.990348066530495,1.8769180834342971,2.0099764460048863,1.95069433644576,2.005835041361359,2.0113921861563067,2.0640826664669607,2.094076061664028
phi2=95deg,1.9413249334106637,1.9823114828870019,1.9372314015498384,1.9776602499315699,1.9455212398425652,2.0390127377574956,1.9749919213539922,1.9433580827333299,2.023961417204905,2.049473668098349,2.092936067181415
phi2=100deg,1.9593113143795975,2.0080606933507097,1.889421575147066,1.9710648526340413,1.970388406072904,2.0132096566170374,2.043218709478082,2.0199085620959476,2.084937228824776,2.052155694134566,2.092238298441326
phi2=105deg,1.9751146829217618,1.874414012897116,1.9548485907804483,1.955343311370405,1.9448826517886282,1.9215788703462386,1.9794397146824514,2.069621569127431,1.9630511733980067,2.107945372242138,2.168359155673543
phi2=110deg,1.9805946867851898,1.9893399961779465,1.9589546181836068,1.9973069625593833,1.9245898117596507,1.9845456665566834,1.9638428828078396,2.0299951004099386,2.1058553387695733,2.084930264392835,2.094195988982551
phi2=115deg,1.9244509868052098,2.031059593696876,1.9568517372248309,1.9208006179274073,1.9809265815361885,1.9542625064552195,1.9418868746759357,2.0382957049492445,2.072941677699895,2.0707219570286606,2.1370207537522745
phi2=120deg,1.9636105603329874,1.9980183339124409,1.9528003355967458,1.9905809497579674,1.921365326313314,2.0410028440389354,1.9946274262593233,1.9967229439966623,2.0942660575129235,2.092458331936091,2.1087636955246474
phi2=125deg,1.9100717891669559,2.007243195944617,1.9283557650799081,1.9396934187046395,1.9271184980637441,2.0212123743862467,1.9797993047334614,2.061465603718151,1.9680562383143805,2.0492305128079185,2.0648676820529133
phi2=130deg,1.9326141472103404,1.9859874987111779,1.8845530774726527,1.9308790880017406,1.9948521237127752,1.9772588420469135,1.9955098151285875,2.0206962212790183,2.0318332786756192,2.1100486890503136,2.1079455903176623
phi2=135deg,1.9330293424018372,1.8793220258466194,1.9340665896981353,1.9247889189129306,1.9704911305987356,1.9598637571617514,2.006068399261709,2.064060373199995,1.992241982580909,2.0654313057525853,2.1479003892765216
phi2=140deg,1.9543311285336231,1.999673771071158,1.9695506394376672,1.976995583242459,1.9741186554852035,1.9176189445803784,1.996752507244783,2.0205333635152414,2.06743965201638,2.0622110076861833,2.096449274581925
phi2=145deg,1.9149011316690285,1.986507591577341,1.9535773702034804,1.9498897924050276,2.004747467081553,1.9215069830954148,1.9913175898536766,1.960585002094436,2.04590367667428,2.048610234926846,2.0709555748908004
phi2=150deg,1.9477286680493548,2.066886718641069,1.9705213959401566,1.9733795355203831,1.9486017269055784,1.9667874634899505,1.9753876568060655,1.9796651931689446,2.012141230474308,2.0925344022666126,2.1419573565764147
