,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,0.099,0.095,0.107,0.09,0.098,0.1,0.108,0.113,0.118,0.113,0.12
phi2=5deg,0.104,0.095,0.108,0.107,0.103,0.107,0.105,0.107,0.097,0.115,0.113
phi2=10deg,0.093,0.103,0.099,0.103,0.097,0.113,0.11,0.095,0.109,0.103,0.121
phi2=15deg,0.1,0.104,0.104,0.106,0.105,0.102,0.112,0.113,0.116,0.104,0.121
phi2=20deg,0.095,0.103,0.108,0.099,0.113,0.108,0.1,0.113,0.113,0.108,0.123
phi2=25deg,0.09,0.101,0.095,0.1,0.1,0.103,0.1,0.106,0.106,0.108,0.121
phi2=30deg,0.098,0.103,0.099,0.104,0.098,0.099,0.112,0.111,0.114,0.107,0.13
phi2=35deg,0.107,0.091,0.103,0.098,0.09,0.105,0.102,0.111,0.108,0.109,0.12
phi2=40deg,0.095,0.104,0.112,0.099,0.093,0.097,0.104,0.107,0.103,0.115,0.115
phi2=45deg,0.097,0.103,0.102,0.103,0.099,0.115,0.114,0.097,0.123,0.107,0.109
phi2=50deg,0.094,0.1,0.106,0.089,0.103,0.102,0.106,0.115,0.107,0.12,0.096
phi2=55deg,0.102,0.102,0.103,0.094,0.101,0.107,0.097,0.118,0.11,0.121,0.117
phi2=60deg,0.101,0.098,0.098,0.095,0.099,0.097,0.105,0.114,0.119,0.123,0.119
phi2=65deg,0.096,0.103,0.104,0.099,0.105,0.11,0.099,0.114,0.117,0.114,0.117
phi2=70deg,0.1,0.097,0.095,0.098,0.103,0.104,0.106,0.116,0.112,0.116,0.123
phi2=75deg,0.101,0.106,0.103,0.103,0.103,0.099,0.093,0.113,0.116,0.115,0.13
phi2=80deg,0.102,0.11,0.097,0.1,0.109,0.115,0.108,0.11,0.118,0.121,0.114
phi2=85deg,0.102,0.102,0.109,0.105,0.094,0.102,0.11,0.109,0.121,0.123,0.12
phi2=90deg,0.109,0.1,0.106,0.098,0.105,0.099,0.106,0.103,0.109,0.118,0.132
phi2=95deg,0.1,0.097,0.103,0.102,0.111,0.102,0.1,0.115,0.116,0.118,0.132
phi2=100deg,0.106,0.095,0.106,0.105,0.111,0.108,0.113,0.103,0.117,0.115,0.123
phi2=105deg,0.102,0.102,0.106,0.104,0.099,0.103,0.113,0.109,0.105,0.12,0.109
phi2=110deg,0.105,0.098,0.109,0.107,0.096,0.097,0.101,0.103,0.113,0.126,0.128
phi2=115deg,0.1,0.102,0.105,0.101,0.105,0.107,0.109,0.106,0.109,0.118,0.124
phi2=120deg,0.102,0.106,0.104,0.104,0.113,0.097,0.113,0.112,0.102,0.105,0.133
phi2=125deg,0.105,0.086,0.103,0.093,0.108,0.108,0.114,0.113,0.108,0.126,0.107
phi2=130deg,0.111,0.108,0.106,0.116,0.107,0.11,0.107,0.102,0.108,0.114,0.108
phi2=135deg,0.102,0.098,0.1,0.108,0.097,0.094,0.103,0.111,0.103,0.121,0.117
phi2=140deg,0.109,0.098,0.111,0.104,0.111,0.098,0.124,0.108,0.103,0.116,0.128
phi2=145deg,0.101,0.1,0.099,0.09,0.102,0.103,0.113,0.115,0.125,0.126,0.116
phi2=150deg,0.1,0.113,0.096,0.111,0.104,0.116,0.118,0.105,0.111,0.12,0.13
phi2=155deg,0.098,0.101,0.11,0.105,0.098,0.11,0.098,0.111,0.118,0.112,0.114
phi2=160deg,0.099,0.098,0.109,0.108,0.103,0.094,0.11,0.113,0.126,0.118,0.122
phi2=165deg,0.088,0.094,0.11,0.105,0.101,0.092,0.109,0.118,0.126,0.12,0.117
phi2=170deg,0.096,0.098,0.119,0.112,0.096,0.099,0.106,0.114,0.115,0.117,0.101
phi2=175deg,0.104,0.101,0.097,0.109,0.099,0.101,0.106,0.113,0.117,0.106,0.129
