,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,0.097,0.095,0.109,0.097,0.095,0.1,0.106,0.103,0.099,0.092,0.105
phi2=5deg,0.103,0.094,0.102,0.103,0.103,0.098,0.098,0.096,0.096,0.103,0.096
phi2=10deg,0.096,0.095,0.102,0.102,0.086,0.101,0.106,0.097,0.099,0.097,0.094
phi2=15deg,0.102,0.111,0.105,0.107,0.104,0.099,0.102,0.106,0.105,0.096,0.098
phi2=20deg,0.097,0.106,0.101,0.096,0.108,0.097,0.095,0.109,0.098,0.101,0.097
phi2=25deg,0.092,0.101,0.093,0.106,0.097,0.096,0.098,0.1,0.103,0.109,0.104
phi2=30deg,0.095,0.102,0.102,0.103,0.103,0.088,0.098,0.1,0.106,0.092,0.1
phi2=35deg,0.106,0.087,0.106,0.093,0.087,0.096,0.087,0.101,0.108,0.095,0.101
phi2=40deg,0.1,0.099,0.113,0.099,0.097,0.101,0.105,0.108,0.101,0.097,0.089
phi2=45deg,0.099,0.098,0.099,0.094,0.092,0.102,0.106,0.092,0.096,0.107,0.094
phi2=50deg,0.097,0.099,0.102,0.095,0.093,0.097,0.105,0.098,0.097,0.104,0.099
phi2=55deg,0.102,0.099,0.101,0.097,0.1,0.104,0.102,0.099,0.096,0.1,0.094
phi2=60deg,0.103,0.097,0.1,0.093,0.106,0.1,0.092,0.1,0.106,0.104,0.104
phi2=65deg,0.098,0.106,0.097,0.101,0.104,0.11,0.1,0.105,0.107,0.103,0.105
phi2=70deg,0.104,0.095,0.095,0.099,0.096,0.106,0.097,0.102,0.1,0.095,0.1
phi2=75deg,0.099,0.11,0.099,0.096,0.098,0.113,0.091,0.1,0.093,0.096,0.097
phi2=80deg,0.105,0.108,0.105,0.095,0.107,0.112,0.102,0.103,0.096,0.103,0.091
phi2=85deg,0.104,0.104,0.107,0.097,0.09,0.092,0.104,0.096,0.107,0.098,0.11
phi2=90deg,0.104,0.099,0.11,0.098,0.098,0.096,0.089,0.099,0.099,0.098,0.097
phi2=95deg,0.102,0.096,0.108,0.097,0.106,0.099,0.101,0.094,0.104,0.089,0.101
phi2=100deg,0.105,0.088,0.114,0.099,0.099,0.104,0.094,0.096,0.098,0.094,0.103
phi2=105deg,0.1,0.096,0.106,0.102,0.094,0.099,0.102,0.097,0.1,0.107,0.093
phi2=110deg,0.103,0.099,0.105,0.108,0.097,0.098,0.104,0.094,0.096,0.095,0.102
phi2=115deg,0.1,0.102,0.106,0.102,0.104,0.109,0.09,0.1,0.085,0.09,0.106
phi2=120deg,0.105,0.103,0.102,0.101,0.11,0.091,0.101,0.098,0.095,0.101,0.106
phi2=125deg,0.107,0.087,0.099,0.093,0.105,0.112,0.103,0.104,0.1,0.094,0.094
phi2=130deg,0.107,0.106,0.105,0.108,0.103,0.106,0.107,0.103,0.099,0.101,0.087
phi2=135deg,0.106,0.097,0.1,0.097,0.091,0.089,0.098,0.098,0.095,0.107,0.097
phi2=140deg,0.107,0.099,0.114,0.103,0.105,0.096,0.107,0.098,0.101,0.1,0.099
phi2=145deg,0.101,0.099,0.1,0.092,0.103,0.097,0.104,0.107,0.107,0.101,0.101
phi2=150deg,0.098,0.111,0.097,0.109,0.104,0.113,0.108,0.095,0.093,0.103,0.102
phi2=155deg,0.096,0.1,0.114,0.106,0.097,0.097,0.095,0.103,0.096,0.101,0.097
phi2=160deg,0.101,0.096,0.107,0.097,0.094,0.103,0.097,0.096,0.094,0.094,0.099
phi2=165deg,0.092,0.093,0.103,0.104,0.105,0.088,0.098,0.107,0.099,0.102,0.115
phi2=170deg,0.096,0.098,0.117,0.113,0.092,0.098,0.099,0.105,0.103,0.098,0.11
phi2=175deg,0.103,0.1,0.094,0.102,0.099,0.099,0.094,0.1,0.107,0.1,0.103
