,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,3.284308952597699,2.2615259265337357,2.169017836587123,2.086553802189574,1.9362578493461882,2.1754915954755023,1.8080512382595346,1.807128481930193,1.7560797522348668,1.732986763003385,1.7180781777320904
phi2=5deg,2.828797720831518,2.431364277922221,2.225175148349406,2.115929852850499,1.9406504239033275,1.944940279869452,1.8761018371742235,1.895817751581112,1.689026674216064,1.657510517957761,1.714555657456429
phi2=10deg,2.956740672078275,2.406410289462323,2.379524449292071,2.2774447330073744,2.0724146473808953,1.9286464753789128,1.938382047426323,1.9411907137747069,1.7662962796856714,1.739188695743159,1.6990146111845188
phi2=15deg,2.6135090971131056,2.3719614317381184,2.659004344937607,2.4448064453145917,2.189487139893608,2.03742722830315,1.905626571233995,1.8697041277431472,1.728274693846736,1.6695190203840893,1.6552061863459242
phi2=20deg,2.7553818760151465,2.3515162476034304,2.3728631079422615,2.109383443339865,2.163320550442536,1.9497212091682052,1.9319954556422294,1.8951349878988442,1.7327116898119093,1.8456498654367302,1.620483228384266
phi2=25deg,2.771344424852206,2.2937104151636882,2.320756214656511,2.2272578157566456,2.018672716893713,1.997477107112179,1.9556651045578897,1.8804980504420659,1.7694432859902383,1.7375879610261684,1.6628205639449016
phi2=30deg,2.953606743221172,2.26833998934244,2.1468322821251977,2.2057993359945196,2.211093198943183,2.0541217915508487,1.9189299334669794,1.8438130226691813,1.7582049953079866,1.7556841715824094,1.5742826473759095
phi2=35deg,2.4657136276283746,2.2911201138230406,2.1628851155453575,2.0478825521003765,2.101819149922467,2.0530745431005863,1.8728905404160794,1.7711555941633343,1.737865128601608,1.780179957985032,1.6931922808077249
phi2=40deg,2.5119626017998344,2.3964559615802226,2.2009620318925003,2.1962229580716657,2.1675977104263273,2.1160195582886283,1.9689221707728561,1.8980149176236736,1.8548589040490706,1.7370311402133982,1.6316443154712958
phi2=45deg,2.422111150269034,2.759321528589336,2.1665886048661007,1.9464646186452552,1.918099460274503,1.9898985710689374,1.9838928321855402,1.8367226082061776,1.7860784397438638,1.7492990360456575,1.744379636319477
phi2=50deg,2.299601297108413,2.357777278520348,2.0926751994440256,2.073319219679868,2.0612973979157716,1.95184036995384,1.9187512115726533,1.9433720666073808,1.745440148271086,1.6824901013522602,1.7859154712516065
phi2=55deg,2.607666658748309,2.234962251700202,2.1816186576485577,2.12622631119528,2.278135260658643,1.9806719293300608,1.9762195540600016,1.738558904360532,1.7117135170425846,1.7925832383654896,1.609307252757716
phi2=60deg,2.5729379888374373,2.494697543790834,2.3473754406937943,2.2007387943557446,2.1441105599267427,2.0922188574045237,1.918287475757265,1.923704071235464,1.7699367944780204,1.6462901283944245,1.6855180592741892
phi2=65deg,2.4471204076089035,2.708663762913559,2.1164568797107863,2.0645758367307336,2.0471380975142632,2.1511872038734015,2.047938975055013,1.8643552094090459,1.789982143078712,1.6670813011560206,1.751100627115006
phi2=70deg,2.4638896630771243,2.316447547488717,2.062029984519291,2.0608232741276478,2.0580012917027752,1.9586999995775316,1.9081596805268146,1.849341443318628,1.8686660845431,1.7325907996067225,1.6718920038818639
phi2=75deg,2.4858569760929567,2.1699651803048314,2.017523200729894,2.0145085403581464,1.9474768274393575,2.1097871216557027,1.8778134049463897,1.903354879558496,1.772504838957187,1.7055678345137781,1.5519850929721555
phi2=80deg,2.3315481720079045,2.1947049212921454,2.192352322984204,2.172765326394371,2.1786027304493496,1.91021655937471,1.963108916058806,1.8781244198668523,1.7405579351104405,1.6863160204964829,1.6367036532124786
