,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=0deg,2.1289720644263004,2.0608064257675363,2.121019364127101,1.836336787623869,1.768989093247664,1.727837082618742,1.751905123187897,1.5524905351963523,1.4459362352578176,1.4507921377813742,1.384428799867561
phi2=5deg,2.316275691294459,2.1012933451587275,2.1905482907564653,1.7864974638355908,1.7088573401579887,1.7325199451814062,1.6656097687582965,1.5649058971024674,1.578190894432592,1.5217299985029,1.4110048534907176
phi2=10deg,2.198830309988224,2.1354756831142314,2.122633026859103,1.8406318950602172,1.8417267067146972,1.7405216670496442,1.6736051025386698,1.5601108985174799,1.5508282294982323,1.4774498702958883,1.401467849841444
phi2=15deg,2.1109030171578893,2.339757734614574,2.1947141736529283,1.934828771300037,1.9570269298239864,1.7496118261282603,1.7140825271171225,1.6246702279850052,1.5643461055135486,1.5406453878134894,1.4151772076425722
phi2=20deg,2.2033723352395698,2.1891375107084725,2.116847162880398,1.7763069579302841,1.8484489235007455,1.7459883154760325,1.763655440956343,1.5994140037202762,1.5787286385874044,1.5047568332910464,1.369244181671388
phi2=25deg,2.22429210179054,2.2439132103116237,2.105747923736911,1.8614261574488355,1.819185505442037,1.7271964785078282,1.7357624402287688,1.609247207388591,1.5066755652225112,1.4845572612272167,1.4468610195179903
phi2=30deg,2.187634253083799,2.208610825744129,2.253085564667874,1.8593623062866078,1.908206317360414,1.688717657224408,1.744344399296488,1.5975623049184544,1.5280899187472006,1.5023404770529103,1.3945820239010691
phi2=35deg,2.2681156614403717,2.135601605912239,2.106862014034132,1.7904831660113771,1.7266379248699995,1.7897559977946822,1.6656876927657918,1.6262437343624176,1.5541633910168042,1.5524140740590504,1.508789984400569
phi2=40deg,2.2224939486019735,2.2594450763993708,2.2100415960425805,1.8526639080916145,1.7700425208707267,1.7350210759206757,1.7477303058550244,1.6110064266060546,1.5668356122105025,1.494109489548938,1.3635019230417658
phi2=45deg,2.0897267711411582,2.351959885962787,2.2136057114895644,1.960164062225585,1.8290252945530865,1.903150968329809,1.7037326894963651,1.5788415631175525,1.4651401894143863,1.5275027376201857,1.384568404109899
phi2=50deg,2.3068175323224773,2.168438209387323,2.08601979894088,1.8320232283482805,1.8380989808943342,1.7519702671379305,1.692654887815122,1.653657743014283,1.5116305694483763,1.5035145338372542,1.418308049542432
phi2=55deg,2.2368917314917374,2.1940186812835005,2.1392722316378165,1.8794735374209532,1.9100110050148178,1.8162051763082856,1.7493870912262632,1.5991235170795985,1.5263000977532994,1.5176439581870413,1.452619488340596
phi2=60deg,2.158292651752009,2.2020320067003607,2.231212150250076,1.7780499525116018,1.924336299908093,1.765738586049101,1.6470282358107406,1.5924042871091977,1.536959037162142,1.432170061721196,1.3656513882596697
phi2=65deg,2.2976583841801297,2.2548249663860975,2.1740417186434335,1.9046078346854267,1.8172103403030102,1.7419064511434441,1.5974924475184467,1.631546962407829,1.5856400146492684,1.5098099770304445,1.436462857657921
phi2=70deg,2.2508169086481704,2.4175806432084634,2.2294453034634314,1.8743828794708453,1.8040638427582247,1.7726820728618014,1.6735513932215793,1.6021897691366693,1.5500610803310801,1.4308006735753505,1.399829183381405
phi2=75deg,2.4322296840416637,2.3713428677791804,2.049102616611703,1.8961898171093363,1.7856013835096025,1.8883103086159896,1.7677554810800107,1.5594388667899854,1.506529911018043,1.531893287880768,1.394628256134508
phi2=80deg,2.3213675077963143,2.1316492051485865,2.100799814198133,1.792316654158212,1.8677324465586052,1.6549204392446197,1.717012866112043,1.6005289199939066,1.5165222112628143,1.5448523673467707,1.4395832185302868
