,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,-0.3502693887460969,-0.6672239687146586,-0.6049341623713232,0.033072612742405104,0.6748198347648978,-3.0725284256512007,-1.0340246239904178,0.15022343906857877,-0.15863111753027132,2.8129960633630167,-1.6767131741673251,-1.4642349450243421,-0.603037118832646,0.8200835998086268,1.9005546135890379,-2.1521350894400393,-1.1992057415511215,-1.0061387517095426,0.5190031110663793,-0.017082215602160437,-0.1149078579720575,0.18959262599897375,-0.09791399304748459,0.12813076172301202,-0.14608662113714818,0.06967520261228365,0.05568093093557192,0.015004186521932427,0.013981641690741233,0.020862125294459702,-0.013434710895103074
dphi=10deg,-0.2616882726244898,-0.6313442734252162,-0.3337617535995157,0.15913839149771675,1.7305399133461188,-1.6108502363460322,1.0161344888801096,-1.8669799956575093,-0.04123813608445695,0.4421810761476594,1.657797080263922,3.447197820487766,0.34422983269250756,1.2107746594008106,2.8546953929409913,0.8851776006024517,3.4294405336624827,2.844847851085293,4.602881784667884,7.216850726904404,7.656991396251587,8.029339114220669,8.480808352475764,8.76601990683118,8.947225587177687,9.620955603188875,9.725725291863244,9.833275830150736,9.8276597988868,9.875535626988283,9.913393335027509
dphi=20deg,-0.1598652416996328,-0.3814166387907996,0.37259610931298776,1.465734195188655,1.7722845580357984,3.6993562396361575,0.6466055277955401,-3.204819330763244,0.9037147052861746,3.5237825307454966,1.2869551078393076,1.8354599692880547,2.415155612522431,2.250747495707586,1.877824353418028,7.40747571363551,7.609431134711482,9.535865322096516,8.694068661307094,12.981426286639511,15.623223663957269,16.865389512832248,17.007071839746942,17.70668212269719,18.401183668676524,19.05489572479525,19.387445992300343,19.607807487052,19.679004114472708,19.773807804849323,19.757426401526338
dphi=30deg,-0.15153598502864354,0.543004456128831,0.8342712508046369,1.607510916473062,2.5769293969819995,1.7007599965234133,-0.42461196304414445,-0.7130170441228583,0.2586006684783088,0.5770638611190435,0.7844793325320161,3.6648402118661805,3.1223342525454725,3.216797413715129,6.2160682423282845,10.554577886805152,9.438924499540477,13.20351797318468,15.794918347834576,20.204295383106746,23.020951030759324,25.00844689387112,25.570866134102584,26.8293788359474,27.343143195454847,28.626820180803335,29.10281293602787,29.45316588282228,29.52459436441938,29.63314115964573,29.67578117867976
dphi=40deg,-0.1318732478360219,0.6878591869666969,0.7501876127600464,2.2293558504458777,1.6958786862931736,2.7098158178077396,-0.2678216820839128,2.2614879113727113,1.2003455176584883,0.16961981820997607,0.8626112431609559,2.373255348723974,2.9355120619099413,7.037022253442936,10.389472411462988,11.433302390840248,14.402384681334754,15.868195330543173,18.803655329044002,26.210107595161578,30.343781857818648,33.618867278657284,34.7852645808156,36.05022666692417,36.619079779510706,38.25056269090973,38.80133870463332,39.2760888283992,39.41976937489698,39.50252006893874,39.67966740782498
dphi=50deg,-0.18132427467886064,0.30341763580392506,0.6801841464553129,1.0593850297869691,1.1728513337569877,1.1454139537721477,0.18860791631802679,4.163632355339216,0.8085347646365506,6.060813843150117,2.6088886117004493,4.168748158779498,3.92533177464018,6.9616974818438475,9.797965319671542,15.250176913356887,19.574443101549456,20.153571697787722,22.892908672747428,34.05034710832135,37.49089794740876,42.370601596036515,43.57167729162704,44.92068827683805,45.976530634568725,47.813155505946725,48.60703268306547,49.16570505768742,49.313620567659264,49.474290554571986,49.55603030898653
dphi=60deg,0.6092690459999351,0.014357404681887348,0.3275744872650562,-0.3407895152711846,1.4899038271552358,1.403444416203835,1.285096535683583,0.8125497633205353,1.7264966205345682,2.3797297306610012,3.2461917880277933,4.151014424856532,7.738121208383741,5.5076530161513935,11.63504335493622,18.841565954836025,20.226457487891743,23.801428463892027,29.12422041117235,40.35456223041965,46.71930105564901,51.287098275006194,52.57879194963897,54.19249315568282,55.00810535841002,57.539467519008866,58.35796177997778,59.01792426287981,59.190099277428445,59.36850423881624,59.48162245085742
dphi=70deg,0.09992033570222097,-0.029072440604375974,0.3105048751464431,-0.6781938360486475,0.44322435889986117,2.411627957154811,1.7766656925598248,3.258186293568997,2.43851346633953,-0.13808271289984417,2.7078175686672377,2.2266131609489164,4.0993449870709195,8.912004926385926,12.21431432037738,16.741244092121566,24.169475735052906,28.972003646707435,33.67671980123725,47.29468872816676,54.28119720225431,60.15664942810559,61.78631502301632,63.5505469439261,64.79203000662483,67.51940856578749,68.19823565443436,68.94937484091481,69.1360630698371,69.31483857760973,69.51121950864446
dphi=80deg,0.10017566640231051,-0.011166912236921218,0.017986842013253353,-0.925667593435395,0.12407722915796389,2.4624863985902623,1.5060416733183308,1.1753290970717956,3.58027806767044,2.7628100809072182,4.200640730386701,4.46227575719018,4.177459346127262,8.888233507928266,12.769799097399236,22.16144695409781,23.464435724840303,32.26582581256488,36.615786423892324,54.401767056346564,62.50215402996587,69.71543973203867,70.50874820569791,73.16859075397943,74.40001683128592,77.24516963625993,78.20513045273701,78.88093370059735,79.11903694581427,79.28368213038677,79.43347050311286
dphi=90deg,0.11298303340959423,-0.19916774006832866,0.34101308595042923,-0.8051091264252705,1.001120086092066,2.6583394714680124,0.8108763077947769,1.1695376668610786,-0.8527038833752024,-0.04467566169679489,-0.8882038059190305,4.067652829582011,3.4506294408753377,12.211385965630129,16.24461230363417,19.774093866946853,26.888066211275603,36.35404009804372,40.869518682032755,63.361010914718584,70.96940341379651,78.56006259607841,80.46525387559682,82.81405656108804,84.373535841545,87.33240056237787,87.98670557846592,88.86343127015034,89.11251031312834,89.3120596710771,89.44393964266564
