,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,3.989129909971229,4.3513997971603855,4.31633615746894,4.284100623564833,3.973381382650985,5.43114028475501,0.23947368597911103,4.860604624079041,3.905112647753492,1.994771928539309,3.9641083105110346,5.19558773238229,0.15746862330510844,0.05562065173013148,0.2034560541275012,6.229565596507626,6.19730653815049,0.01260976005890931,0.06887726402806266,0.05408158677558499,0.04933756361206579,0.0554897787249476,0.04967820581021669,0.054179027692447104,0.04881782420244213,0.05288841737025338,0.0526105640787407,0.05187425306713682,0.05185518638311321,0.05197635019707849,0.05137014365489644
dphi=10deg,3.931424130019634,4.324035920413749,4.212826363260438,3.7634732011948544,3.8415369507373875,5.783939382805701,3.3805048478669244,5.092472758880293,5.279169421341908,0.23870179123261645,1.5582813497122276,1.7083532552680096,0.12091321040429648,0.32669540737673397,0.281539623902153,0.15059035945691024,0.1591256834301241,0.14642852288459843,0.22309078814735475,0.23532079265503467,0.23029977984442754,0.21963176636384243,0.22439490442642593,0.22371626294052027,0.22335818191017737,0.22788898902338325,0.22698104574211356,0.22664530325594356,0.22597804453430909,0.22628317987449695,0.22664086082002508
dphi=20deg,3.905354286649306,4.37298828892058,4.322185840261252,3.522538030969197,3.493721844297118,2.829327985184218,3.6881383727891097,4.809016004418757,5.953252464342544,0.877214863521951,0.980581329374579,0.47148270293543515,0.4494500774546334,0.40234130032277643,0.34210862179030915,0.3758692190129041,0.42753479799511834,0.4492474163473674,0.3443132014827239,0.3954361933206172,0.41601959192877996,0.40415368148464625,0.39776710055791853,0.3986286368485314,0.4043087102054405,0.400477290716427,0.4010389395048817,0.4005449349555531,0.40068583402850305,0.40128931447646554,0.40038832816972475
dphi=30deg,3.9003620465604025,4.4199580296088,4.489064533015769,3.46498631050621,3.3349909426002076,3.4333682970047867,4.508393128373938,0.08958510834631804,6.091387022022671,0.2863169856935777,0.6026411876865249,1.079542250903911,0.9263762277177047,0.4320219502612061,0.5531441938097723,0.577330137524916,0.5786816755676107,0.5562271681273971,0.5815693753474176,0.5759304606786034,0.584284850694054,0.5729535737665968,0.5694944119882621,0.5762810601456592,0.574935427566914,0.5751613051737351,0.5757586252214326,0.5754973264056638,0.5751272925317369,0.5754827274072705,0.5753300745155564
dphi=40deg,3.895930340207988,4.582782310714425,4.475305317696327,3.5724546964773642,3.6048081259639333,3.0609906884318154,4.26777192348756,0.1991386090715953,0.925214206689757,0.24694963161882696,0.5248580888457895,0.9286672625655948,0.6718320996358992,0.9775149789877908,0.8465143286609828,0.7053434133321622,0.783136523759372,0.7176411357237241,0.7430560263727546,0.7308971538354019,0.7506923982455543,0.7494072390750227,0.7539071226254707,0.7545905642613349,0.7503896986416837,0.7501723444286876,0.7497337923253784,0.7497733817518323,0.7502017967424631,0.7496315898144169,0.7515990441467252
dphi=50deg,3.9242843069006823,4.136774414981678,4.458417506027556,3.6760125095793743,3.6667839923903105,3.7096488656293887,3.802395225980555,1.4242403584847914,6.282435056447807,1.4083420747444733,1.6559429790866584,1.0384301193082879,1.253670324751417,1.1275456111547324,0.8813518077467317,0.9598312905112235,0.9613347497551176,0.8953722653054489,0.8647398308215585,0.9296760715301431,0.9109710621690059,0.9270733717910016,0.9270629146929229,0.9242003906120467,0.9260130187786553,0.9232448189739922,0.9249656814828827,0.924841890660524,0.9249311214772126,0.9253376996214117,0.9254044167148489
dphi=60deg,4.154458046579945,4.242060752525786,4.446363863187908,4.284590157457162,3.6519705726298444,3.694496997451737,3.399630080047723,0.7472892037988698,1.445944291347974,2.2150388759115267,1.8762538027195617,1.6920105237704808,1.4318488778332592,1.0776719948226485,0.9421784458169918,1.0641707385791728,1.077978960767794,1.0265764256752594,1.0975093674994187,1.1116388291784194,1.1103602423141499,1.103276825620486,1.1013707673162976,1.0986185566527413,1.0938134265912218,1.0980125491916468,1.0985337071205152,1.0988152894378755,1.0989876177425089,1.099383037371437,1.0998034152893863
dphi=70deg,4.171426120934092,4.383298872695866,4.319044678232062,4.13491042538599,4.046379075693596,3.339942836142017,2.232589275337765,1.09231475343203,0.37356011364072794,5.714369088831894,0.8355988381007647,1.4301643741009462,1.4205911059542264,1.2217167015107235,1.517554833096996,1.0939911912514875,1.2568361004647906,1.2295738093901496,1.2529333724635412,1.2733448221506267,1.2718044143965797,1.274286699609945,1.2765550350838,1.27254486349692,1.2725507532648144,1.2761912552085826,1.2728582169676304,1.2736549242612907,1.2738366743989327,1.2739638831087352,1.2757263152944067
dphi=80deg,4.169566128850525,4.38790196562399,4.345964883365034,4.186974152915996,4.086719966116593,3.0178498198530046,3.3199081067680396,0.4025961166920192,1.1654694995021846,2.1326409793076038,1.2492419769278849,2.1820791246164744,1.6221282852516983,1.2334541224559625,1.5060516046533705,1.534317758983102,1.4276310877612368,1.4349677943942991,1.3796126038254197,1.4233827635307,1.4450693626109354,1.4554218022113574,1.4398351613679397,1.4489299101043032,1.4469140359113413,1.4485991013884725,1.449143440046319,1.4479632379426055,1.4488637972429141,1.4485731055528233,1.449425743614334
dphi=90deg,4.1621334167660455,4.340543574486336,4.267255031881713,4.092426068548824,4.551192550069955,2.8870560934594884,4.139550654530947,2.771964862472427,3.203071197064491,6.084986879415986,2.609909574887683,1.7863025016465781,1.386881110472763,1.4856536750457636,1.5137760970979999,1.6007457486714405,1.6604290318847748,1.6104663372763752,1.5704054046827987,1.6475345407321116,1.6204205500006346,1.6200494016692097,1.6206554397304933,1.6214637641004959,1.6241742960036014,1.6259294021478432,1.6205527373257806,1.6225850848246868,1.6235894924574248,1.6238323852115173,1.6243240681727382
dphi=100deg,4.15931484128563,4.420625810786698,4.287095555708973,4.198113246863468,4.577616778933868,4.148984159893863,3.027001368731584,1.7517740241995596,2.686000047371622,6.057706350310752,3.22018572592195,1.8227948409134158,1.4343247453253782,1.6931155738264914,1.9329146281563343,1.758099841430387,1.8556823267439428,1.9007081023603372,1.83342906186322,1.7947136717541252,1.8045297096053956,1.794639244021802,1.8024473316706398,1.791086719338409,1.7992837519050717,1.797705227295974,1.7979045604390325,1.7969145683882113,1.796509022706361,1.797678721331827,1.79982562167771
dphi=110deg,4.172225081159517,4.367946522515643,4.285146089911777,4.1852139959179855,4.577527767521245,4.081647964185226,3.4669327948658233,3.412778725106246,1.7936083740607236,0.024912018289638127,2.4293666151721394,2.0400495888812262,2.0623709763812506,1.9088814463032604,2.050915993364068,2.041804380748608,1.8476443670465745,1.9945988823606737,2.0121973652119625,1.9684564788341088,1.9822094935357,1.973794296219074,1.9736201126667472,1.9743147166016934,1.9741282091215155,1.9718064499956134,1.971943185858061,1.9719970437301855,1.9722708144219216,1.9728341245786127,1.972206931648435
