,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.4927725125280012,5.525460974407938,4.74961258429682,5.466761901826836,0.41483535033383767,0.6895669144380121,0.5682593503022153,1.4641336261618065,0.9822282261737779,3.615863227563655,2.0212016608582073,0.5009948156989952,5.8124109278911265,0.0866734134856866,0.07717537804942833,6.261573341647883,0.08589898730855906,0.014258300286958367,0.06107249474224809,0.05486828217528072,0.05317603664903307,0.047916432066358094,0.055350161367549555,0.05164105568571406,0.051437685319011765,0.05289645266327044,0.05235848318883655,0.05212963705576974,0.051628647778784766,0.05175458358588825,0.051948203695217694
dphi=10deg,0.631867846985119,5.590140329667044,4.911522114173165,6.23137985669731,0.9103984857922809,6.02340608035193,0.2525095463424865,1.663927721395247,0.34019606007174746,1.2489837789788367,1.1700276229264033,0.2463916942617057,0.37903195981350024,0.414151043998439,0.2990027582416917,0.18977415555803964,0.22953884117268605,0.23115940205277216,0.22646333964830306,0.2093547494013019,0.2291826639720703,0.2258383410548086,0.22958154789613272,0.2302678841083986,0.22564693275507314,0.22696700135225942,0.22648772430163805,0.22716436174425264,0.2258762522358109,0.22531904798040644,0.225795804725634
dphi=20deg,4.548432208072865,5.531470386710035,4.3636284414760755,6.145625142391137,0.9645091901051586,1.9346820267910447,1.2332873696115985,1.6991523526008947,1.3014733561132716,1.3266513101939623,1.0599878722006,0.9043267777087508,0.40746450991687183,0.3484640944808412,0.3950990980644954,0.3532706848839516,0.4076391732046098,0.4219090845179422,0.42742354092484436,0.3952927372933197,0.3858673617473177,0.4014364176668516,0.3984677660350151,0.39718111948803275,0.40047195160339877,0.40236877157858925,0.40073125220032085,0.4007381454718105,0.40090761998169266,0.4016618423368987,0.40075421128843786
dphi=30deg,1.0096287939773245,6.132018856832254,4.71576917265755,5.944560976962568,0.8661817678193195,1.1954786165893316,1.0126531037483155,1.7993530945219869,1.3356121997381087,2.020140383255359,2.348271411719031,0.9634084264436821,0.5263728051383458,0.7711155015539577,0.6046640495388373,0.5652250563020585,0.6210809652803305,0.5720376086341972,0.5766902590102189,0.5835494907761003,0.5770642409666334,0.577492181715345,0.5694220637541199,0.5768544175488993,0.5728712898933526,0.5747272916356436,0.5755964173633815,0.5749925102840426,0.5753531452223428,0.5749301611786249,0.5750932092610004
dphi=40deg,1.0873488365962276,6.057479323598441,5.826029667766615,5.873148345437385,1.4617011061408727,6.208910445282444,2.4291325181020937,1.6977314960461352,1.001836907753255,1.7462536535744657,1.7733364895201529,1.2698100004914623,1.108405964691599,0.9128050676925452,0.8501423979664452,0.7469040375419221,0.711764167914592,0.7311027183087393,0.7988704193560796,0.7458551896048723,0.7427002011842623,0.7514496624092479,0.7501716017085258,0.7520596572095852,0.7470708143132817,0.7493993289001654,0.7502213092059261,0.7507437113443163,0.7487727990026916,0.7486879416691359,0.7493400169491085
dphi=50deg,0.2731021745035382,5.921623985119799,5.557827381004932,0.29809014844570547,1.5902587315707981,2.8356155632642817,1.7763669480636293,2.3765338033280403,1.744295232229719,1.161667266420117,1.5549567811224405,0.9421925008123113,0.8931640784357945,0.9792918696888261,1.0064793256632758,0.9135633431896534,0.8992296339004346,0.9243340429075787,0.9462347962575146,0.9373269379534563,0.9227240068688342,0.924335586402161,0.9249055673934985,0.9269454966833127,0.923356051626505,0.9234903960573755,0.9253233408104787,0.924053670520282,0.9252388810382804,0.925466506677401,0.924360076377341
dphi=60deg,0.31621481021724074,6.23393617316521,5.576677578260051,5.847526664024976,1.2996352161115985,1.747768985115196,2.258121448162547,2.6458526436853056,2.025448415253406,2.5160904580458743,2.8811560817764588,1.5440072742358708,1.100443556859449,1.2259814627892498,1.1902454205961681,1.0284554999176687,1.1249605189121725,1.0961396997727024,1.1384512759630099,1.1284911667780626,1.1058881936477658,1.1002173911133843,1.0960292369974003,1.098330243126912,1.1019879082150883,1.098046495090474,1.0998654737777358,1.0981966353169248,1.099314689627353,1.0987970889957512,1.0985807758816015
dphi=70deg,0.8637567749725327,0.33837991182265953,6.226632926557865,1.135329285808867,1.034576646645794,0.2649207076076076,1.721910909289934,2.9450875727101193,1.664756179360192,2.1402337544248353,2.2778551210825437,2.0612440043232296,1.2512399956880642,1.339775405032109,1.5685048479221317,1.230323425698032,1.2400711244735776,1.326850800508926,1.3087454637399842,1.293243072539445,1.2716889085208527,1.2769438974372684,1.2748944098704766,1.2734362500738434,1.2759375841431253,1.2736154228313132,1.2735613965866535,1.2741359587927858,1.273289060799434,1.2728505104718497,1.2730745311082616
dphi=80deg,0.8253496475597116,0.21448474392287234,5.7216812119212355,1.292977819262684,2.079317020924454,3.4130800631983984,2.4531432763009664,3.1319874966359116,2.2296504760247458,2.2080879648713108,2.459647964653138,1.7608024156307813,1.3621630513907026,1.4822529594176364,1.5213739779101094,1.4162129455178494,1.4641233712579167,1.4179587876049846,1.4532377290524232,1.44405663567423,1.4484718131293526,1.445958037113763,1.4473428535222137,1.4475937668478156,1.4493041265172992,1.4476158904491958,1.4483589701020334,1.4474727781782635,1.4486586729871131,1.4496693102581604,1.4486809025731149
dphi=90deg,1.647360347004937,0.4153663519652303,6.156951106440174,0.23234352966323768,2.066286606796009,2.4654239906973245,3.35775229185723,3.225651621273562,2.5914885248890904,1.275696603607877,2.7796719757070627,1.8654610570513146,1.690556439246676,1.7499209057290293,1.702867382436318,1.6405011766712516,1.5835881237798595,1.5766392072252673,1.6268436940562865,1.6098771551501292,1.6227814057911194,1.6271462250081714,1.6200398485360537,1.6220429369634484,1.617488133430051,1.6222916467204789,1.6215250599895161,1.6235568823041575,1.6231892811150683,1.6229404795319542,1.6232763132157286
