,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,1.3609331751834,1.3596615430945145,1.3500330347522507,1.3735903095178086,1.4359199892979795,1.3803908096072055,1.3917348093199413,1.371137354575996,1.3799513490904731,1.386952930122137,1.394783920245335,1.3719177883490958,1.3653547796857435,1.427165364806437,1.4086582660618125,1.5281740844204579,1.5579367248781018,1.670357187394282,1.8596444719629728,2.977737087280941,4.262093000044686,6.87524892593189,8.294993792458994,10.847199544861805,13.560490329460041,27.240824374907476,40.77328928040884,67.91339611757004,81.47081562998343,100.50405047223805,116.18937957713112
dphi=10deg,1.3596615430945145,1.3565379709785135,1.3482994682067728,1.4005622508137163,1.423990742838483,1.3630329462283883,1.4140738603920706,1.4007069684733935,1.3930997887216612,1.3636225173888858,1.3776723520051233,1.3597331405575823,1.35566485081,1.3745207814167049,1.4659814853252635,1.4510886265717418,1.5757666689378358,1.6733608605005577,1.8547051365216107,3.0472207095658073,4.22557340297959,6.942026265611041,8.162158453938146,10.876017354876426,13.593144891484851,27.119215111932228,40.77398124517083,67.9218670759325,81.4089480543673,100.56210541200731,116.16745622957843
dphi=20deg,1.3596615430945145,1.3596615430945145,1.339797413246807,1.4167226994050863,1.42137962712979,1.4100242306006607,1.4005183431441144,1.3494719126922474,1.4092337717687808,1.3646620359937027,1.3793738028205624,1.3687514299161032,1.4002442935710588,1.438018018156951,1.4207765659529492,1.4989890095888565,1.5827783895160485,1.6777988748264652,1.828757270489958,2.973897571868142,4.189894275932605,6.877842685274782,8.155301802599457,10.913742055360835,13.630812631698074,27.182817712116307,40.775985696923954,67.88728479570719,81.40113279824371,100.63724027006297,116.19434707947946
dphi=30deg,1.3596615430945145,1.3493405012109534,1.3493908718717447,1.4154901517655365,1.4011906443387505,1.409437576745272,1.384529221904039,1.3938874606790777,1.4092337717687808,1.3890893178731285,1.3828775322667086,1.4125911376144593,1.3831246810213669,1.422444388496701,1.4458247482493314,1.5571941741578392,1.5279892015187126,1.6652923008028415,1.870867072974816,2.976667744041885,4.19776775744956,6.820193010244019,8.315563137944924,10.949320672096404,13.60179092570704,27.23457315740358,40.74227450092407,67.90360672686607,81.33597749925013,100.44846222991208,116.23740639230104
dphi=40deg,1.3596615430945145,1.3631778182114824,1.3495607042407485,1.4309408348863766,1.3976714321687143,1.3981749024032009,1.3961802665242202,1.4191194493491337,1.4089509470818118,1.3970867524904582,1.3835104061507066,1.399179997392404,1.3766379129734627,1.4271398712322907,1.4019027547478198,1.5259699568921707,1.5337460405465908,1.6066504056561992,1.8532002889150394,2.98533726655635,4.187477177794996,6.867287008786116,8.227205008722436,10.978699856082716,13.629172483832711,27.156003657677807,40.685011965216816,67.82678616640217,81.36466139852496,100.63451047366333,116.34695159730427
dphi=50deg,1.3514872298884917,1.3713592871552525,1.38009949938218,1.4349637674969975,1.392518482509708,1.3985019244506178,1.3818393919727918,1.397522263109464,1.3664957038065246,1.3988847513333726,1.371455326493841,1.4023559115953426,1.3761102634632365,1.42332869637562,1.4591828213625506,1.5017637093718506,1.574558166762401,1.6991569696801063,1.8128068448985535,2.9576295309077913,4.219877876136681,6.84165177631096,8.235602520489284,10.912952356368605,13.640677736583601,27.089844075045058,40.75353918973181,67.92759920699909,81.4157505401927,100.78393675357117,116.36590747761106
dphi=60deg,1.3433310082391126,1.3713592871552525,1.3761382711410421,1.3622990489233922,1.4052059328597826,1.3913069967555114,1.3976714321687143,1.3850292820755632,1.4245738028292085,1.381255756565507,1.3638200526355868,1.3790680252547716,1.36307316534017,1.427744602537032,1.450854959155496,1.5501769197123338,1.6058932734650742,1.6601443904569257,1.8628421343801818,2.9395831964474297,4.239410113257955,6.9033199953606,8.261241189827341,10.948660575361902,13.554787725427715,27.22096367927204,40.74486652517837,67.87357687692851,81.41965143033735,100.7127597448187,116.4366425296017
dphi=70deg,1.3648574208338804,1.3656685601018987,1.371863536566353,1.3362098944935856,1.3460024163444528,1.3913069967555114,1.3994385892173424,1.3982144223704385,1.4061712220050238,1.3968008813084403,1.392773313708111,1.3882951525353455,1.4016605061956258,1.4269919291961886,1.4396089103603087,1.4806126467395349,1.5833990873412795,1.7263236990732198,1.8459688213984065,2.899057046709605,4.255476212293653,6.9711278702517205,8.236022363310926,10.958673527269898,13.706658253816812,27.25303852768333,40.77091665708246,67.91397849711885,81.38765946302087,100.86206058800903,116.47467820851203
dphi=80deg,1.3648574208338804,1.3648574208338804,1.3707335496413249,1.3398634337901032,1.3327772485399874,1.383246267927503,1.383246267927503,1.381535603024004,1.3938493935239373,1.3869146986212775,1.3561782061842864,1.3810612395066935,1.4195757778106606,1.3667803216648633,1.4166992652695645,1.4864362912818638,1.553652624741714,1.7011626434307638,1.8137504047479398,3.0219096463912583,4.1934503052673975,6.9427837969065695,8.271407808817973,10.886007121891314,13.602063687534585,27.152752159157757,40.82666405901025,67.86770735375126,81.4260509527765,100.97429068945519,116.62222560210543
dphi=90deg,1.3648574208338804,1.3656685601018987,1.3691842192928445,1.360190077056722,1.3293580883714065,1.3880161483512445,1.3872420011137578,1.3838311437843238,1.3772019408951488,1.3551837363904555,1.3977650273086928,1.4142026979557432,1.3975596224344133,1.4410705013080976,1.4457088709823456,1.4962351344450786,1.507374899650816,1.729498192780412,1.8008485448275087,2.867373045961851,4.21230261718002,6.94413097265089,8.201402164674743,10.89515868705437,13.570937247843066,27.174919806685274,40.80309632735591,67.81200639905381,81.36549761892536,101.04993889507571,116.75279956727134
