,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.1,0.104,0.105,0.099,0.096,0.094,0.094,0.094,0.1,0.098,0.098,0.094,0.099,0.106,0.12,0.126,0.141,0.2,0.264,0.659,0.939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=10deg,0.1,0.104,0.105,0.095,0.096,0.101,0.09,0.094,0.096,0.102,0.095,0.096,0.109,0.105,0.11,0.15,0.153,0.207,0.254,0.66,0.923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=20deg,0.1,0.103,0.104,0.097,0.097,0.103,0.093,0.103,0.097,0.099,0.1,0.102,0.107,0.105,0.108,0.133,0.145,0.189,0.249,0.668,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=30deg,0.1,0.103,0.101,0.096,0.1,0.096,0.101,0.101,0.095,0.106,0.104,0.093,0.1,0.107,0.111,0.149,0.153,0.21,0.278,0.629,0.931,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=40deg,0.1,0.101,0.101,0.097,0.102,0.106,0.1,0.098,0.087,0.091,0.098,0.094,0.095,0.1,0.109,0.142,0.147,0.201,0.246,0.665,0.931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=50deg,0.1,0.095,0.097,0.096,0.101,0.104,0.106,0.104,0.097,0.092,0.105,0.099,0.11,0.102,0.104,0.141,0.166,0.187,0.252,0.645,0.935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=60deg,0.102,0.093,0.095,0.094,0.098,0.104,0.105,0.093,0.091,0.104,0.103,0.099,0.103,0.107,0.115,0.135,0.155,0.182,0.257,0.648,0.951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=70deg,0.098,0.094,0.094,0.098,0.096,0.102,0.1,0.105,0.101,0.101,0.104,0.098,0.101,0.092,0.108,0.13,0.159,0.208,0.275,0.643,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=80deg,0.098,0.093,0.093,0.094,0.1,0.1,0.103,0.107,0.108,0.098,0.102,0.108,0.108,0.104,0.104,0.14,0.14,0.185,0.259,0.642,0.935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=90deg,0.098,0.093,0.093,0.093,0.099,0.099,0.097,0.09,0.107,0.111,0.098,0.105,0.095,0.102,0.112,0.13,0.136,0.216,0.272,0.619,0.907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
