,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.1,0.104,0.105,0.097,0.095,0.094,0.092,0.091,0.104,0.098,0.096,0.096,0.097,0.1,0.094,0.101,0.092,0.097,0.104,0.101,0.107,0.091,0.098,0.089,0.109,0.113,0.117,0.144,0.157,1.0,1.0
dphi=10deg,0.1,0.104,0.105,0.095,0.096,0.1,0.09,0.093,0.096,0.1,0.097,0.096,0.108,0.097,0.092,0.095,0.096,0.097,0.107,0.102,0.088,0.097,0.101,0.103,0.1,0.119,0.132,0.149,0.185,1.0,1.0
dphi=20deg,0.1,0.103,0.104,0.097,0.098,0.104,0.095,0.103,0.096,0.098,0.101,0.1,0.109,0.101,0.099,0.089,0.094,0.11,0.095,0.096,0.095,0.096,0.105,0.097,0.101,0.098,0.114,0.146,0.19,1.0,1.0
dphi=30deg,0.1,0.103,0.101,0.097,0.1,0.095,0.102,0.102,0.095,0.1,0.099,0.092,0.097,0.097,0.108,0.097,0.088,0.086,0.104,0.09,0.093,0.099,0.092,0.097,0.097,0.118,0.116,0.145,0.18,1.0,1.0
dphi=40deg,0.1,0.101,0.101,0.097,0.101,0.106,0.1,0.099,0.088,0.095,0.1,0.095,0.093,0.097,0.103,0.097,0.104,0.095,0.091,0.097,0.113,0.1,0.102,0.109,0.095,0.104,0.126,0.159,0.169,1.0,1.0
dphi=50deg,0.1,0.094,0.096,0.095,0.101,0.105,0.107,0.104,0.098,0.092,0.11,0.096,0.108,0.091,0.103,0.096,0.093,0.105,0.103,0.095,0.104,0.098,0.108,0.086,0.111,0.116,0.108,0.146,0.161,1.0,1.0
dphi=60deg,0.102,0.094,0.094,0.093,0.098,0.104,0.105,0.094,0.092,0.105,0.105,0.097,0.102,0.097,0.093,0.082,0.084,0.098,0.102,0.102,0.097,0.096,0.099,0.089,0.096,0.099,0.109,0.147,0.169,1.0,1.0
dphi=70deg,0.098,0.094,0.094,0.098,0.096,0.103,0.1,0.104,0.104,0.099,0.106,0.098,0.099,0.091,0.102,0.09,0.091,0.088,0.103,0.102,0.098,0.089,0.104,0.094,0.091,0.105,0.119,0.152,0.17,1.0,1.0
dphi=80deg,0.098,0.093,0.093,0.095,0.098,0.1,0.104,0.104,0.104,0.097,0.099,0.103,0.098,0.099,0.096,0.097,0.088,0.09,0.094,0.092,0.099,0.098,0.099,0.097,0.096,0.099,0.119,0.145,0.185,1.0,1.0
dphi=90deg,0.098,0.093,0.093,0.093,0.098,0.098,0.097,0.089,0.105,0.108,0.105,0.101,0.088,0.094,0.098,0.096,0.11,0.1,0.095,0.105,0.099,0.094,0.1,0.098,0.099,0.107,0.112,0.173,0.174,1.0,1.0
dphi=100deg,0.098,0.094,0.094,0.093,0.098,0.099,0.098,0.092,0.103,0.106,0.087,0.095,0.096,0.097,0.098,0.103,0.105,0.107,0.093,0.095,0.103,0.096,0.096,0.11,0.093,0.1,0.116,0.151,0.179,1.0,1.0
dphi=110deg,0.098,0.094,0.094,0.094,0.096,0.099,0.093,0.101,0.108,0.105,0.098,0.091,0.098,0.097,0.101,0.098,0.095,0.098,0.09,0.103,0.105,0.096,0.099,0.1,0.094,0.103,0.125,0.151,0.175,1.0,1.0
dphi=120deg,0.098,0.094,0.093,0.096,0.098,0.097,0.096,0.103,0.099,0.101,0.102,0.101,0.093,0.1,0.088,0.1,0.098,0.092,0.103,0.098,0.094,0.096,0.101,0.097,0.087,0.105,0.12,0.166,0.181,1.0,1.0
dphi=130deg,0.099,0.096,0.096,0.099,0.095,0.095,0.099,0.103,0.116,0.1,0.1,0.097,0.086,0.103,0.089,0.097,0.095,0.093,0.105,0.087,0.091,0.095,0.1,0.089,0.097,0.11,0.124,0.15,0.172,1.0,1.0
dphi=140deg,0.1,0.097,0.099,0.092,0.093,0.094,0.1,0.1,0.102,0.096,0.101,0.094,0.09,0.101,0.094,0.101,0.094,0.093,0.091,0.1,0.094,0.091,0.099,0.096,0.105,0.104,0.111,0.156,0.161,1.0,1.0
dphi=150deg,0.1,0.096,0.098,0.098,0.096,0.095,0.098,0.094,0.11,0.1,0.1,0.102,0.091,0.093,0.106,0.094,0.098,0.09,0.093,0.094,0.088,0.102,0.096,0.097,0.112,0.099,0.115,0.147,0.157,1.0,1.0
dphi=160deg,0.098,0.094,0.095,0.096,0.095,0.093,0.1,0.095,0.108,0.101,0.094,0.086,0.106,0.096,0.096,0.096,0.091,0.093,0.097,0.099,0.092,0.1,0.096,0.095,0.092,0.099,0.116,0.158,0.17,1.0,1.0
dphi=170deg,0.098,0.094,0.095,0.096,0.093,0.1,0.103,0.094,0.097,0.094,0.113,0.099,0.102,0.099,0.099,0.098,0.1,0.087,0.089,0.085,0.1,0.083,0.095,0.107,0.099,0.11,0.126,0.132,0.166,1.0,1.0
dphi=180deg,0.098,0.094,0.095,0.094,0.096,0.097,0.109,0.091,0.096,0.097,0.1,0.099,0.091,0.098,0.104,0.101,0.1,0.092,0.109,0.092,0.094,0.103,0.099,0.107,0.098,0.107,0.113,0.14,0.189,1.0,1.0
dphi=190deg,0.098,0.098,0.099,0.095,0.096,0.097,0.102,0.105,0.094,0.095,0.103,0.104,0.089,0.098,0.096,0.104,0.104,0.097,0.1,0.104,0.095,0.1,0.093,0.095,0.106,0.103,0.121,0.149,0.154,1.0,1.0
dphi=200deg,0.098,0.099,0.1,0.094,0.096,0.099,0.097,0.106,0.109,0.097,0.103,0.098,0.1,0.099,0.091,0.102,0.092,0.102,0.094,0.099,0.1,0.108,0.093,0.095,0.105,0.106,0.109,0.152,0.182,1.0,1.0
dphi=210deg,0.098,0.098,0.098,0.092,0.096,0.101,0.101,0.096,0.093,0.101,0.095,0.096,0.1,0.102,0.089,0.102,0.102,0.09,0.096,0.092,0.095,0.095,0.096,0.095,0.107,0.099,0.115,0.156,0.179,1.0,1.0
dphi=220deg,0.099,0.098,0.096,0.101,0.097,0.102,0.098,0.1,0.09,0.095,0.094,0.093,0.103,0.099,0.094,0.1,0.096,0.101,0.097,0.1,0.097,0.1,0.094,0.098,0.091,0.108,0.128,0.148,0.168,1.0,1.0
dphi=230deg,0.098,0.098,0.099,0.103,0.097,0.1,0.102,0.096,0.096,0.092,0.093,0.095,0.107,0.097,0.104,0.099,0.086,0.105,0.112,0.094,0.096,0.094,0.102,0.097,0.105,0.105,0.118,0.155,0.176,1.0,1.0
dphi=240deg,0.098,0.1,0.099,0.1,0.102,0.098,0.102,0.099,0.094,0.094,0.102,0.093,0.093,0.093,0.101,0.096,0.098,0.102,0.089,0.097,0.093,0.106,0.099,0.09,0.096,0.112,0.117,0.159,0.159,1.0,1.0
dphi=250deg,0.1,0.101,0.097,0.103,0.102,0.102,0.101,0.098,0.095,0.085,0.085,0.098,0.099,0.099,0.102,0.092,0.097,0.104,0.094,0.107,0.089,0.098,0.097,0.102,0.09,0.109,0.114,0.155,0.171,1.0,1.0
