,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,2.5035480394134453,2.457443461497649,2.4790478633835082,2.494441949571894,2.5965888404137174,2.818473714864135,2.8601416060125815,2.612862532732409,2.5135862653221817,2.7371194551035,2.765162665386068,2.4721951196634446,2.3382960951771845,1.8980786351910222,1.8393059130449714,1.483882962334563,1.3697765668658068,1.1756101139770878,0.934836315362123,0.4870602252879513,0.3100471731772304,0.17060885521607655,0.14689563677068987,0.1074030145826722,0.08422767930319502,0.04408480642329245,0.028548712124039553,0.01736822029491669,0.01432219020875002,0.011638561905886835,0.01005918624481525
dphi=10deg,2.512115775188065,2.4563083344164234,2.4591640131739756,2.52300790689649,2.709711206744196,2.9106186503896407,2.6271123329569352,2.5800535700129963,2.9922797640859513,2.43328556766981,2.7200982378982728,2.8122576785400564,2.1564134581949106,1.9494025559041153,1.775994937688661,1.4281566888449728,1.3250756355438944,1.1334316998509741,0.9761857630281086,0.48148916085488136,0.30200949143127165,0.17811028306994695,0.14781708672593952,0.10833585479145574,0.08604118204762713,0.04263668931881973,0.028452963078303892,0.01695448993990641,0.014041387076422626,0.011687752940959745,0.010356042512606385
dphi=20deg,2.512813914668012,2.4977875776606684,2.525635353178427,2.633423504563633,2.6384992468093253,2.5357877120162735,2.642856032138833,2.7823863175228505,3.0285095304784977,2.5133190359204614,2.686371396617859,2.3160097134188606,2.2314041802661038,1.9400673789406018,1.7957715774936998,1.4508829721831369,1.3658013628767298,1.1764547334047435,0.9730895654290433,0.49269875978273203,0.29930522281813177,0.17337850828826332,0.1438458817590635,0.10966156076049488,0.08695709267031466,0.04417338045638069,0.028574029662059124,0.0165645920955874,0.014340870670991114,0.011347859100374077,0.01057920319268367
dphi=30deg,2.513414071935213,2.5753364130294836,2.5751932241081965,2.5855653639074783,2.5853114172388914,3.117019958138416,2.667013784101545,2.6835640402357637,3.0655276774709503,2.480899890739454,2.6047507984348006,2.269821263869476,2.2750137139746043,1.9608956974697103,1.6888296714699502,1.4364869126109385,1.3705559452653113,1.1333295571990107,0.9494747572365905,0.4830212990511023,0.3023422046191458,0.17291474675646895,0.14233084118565006,0.10712699661214631,0.086569788879752,0.04242130372737671,0.027903479551151373,0.017310929765015068,0.014925455447090988,0.011743330508887154,0.010330599698182374
dphi=40deg,2.5141941968366543,2.5586702841535947,2.5642326569426155,2.733476984639963,2.4267298430444963,2.5269807410094356,2.6157904246274932,2.8207787296787368,2.6066247654322505,2.5145496111826917,2.5047065420958607,2.473735137587117,2.1431514115629064,1.9786320220960139,1.759750367293128,1.4278996647899742,1.3389885030876187,1.1576416680163606,1.0021329727624861,0.4939013028364869,0.3039041625847579,0.17823824679840017,0.14945136817676705,0.10909108389310018,0.08696468120200299,0.04159126785389996,0.028983678266503263,0.017926408345685,0.014447809753945395,0.011903303984454933,0.009994672152943978
dphi=50deg,2.5126229940533493,2.5629536868975715,2.601753146620172,2.503504073750535,2.3675174536896115,2.4915695309008536,2.4971235996356262,2.554940452110987,2.6576321234696705,2.35962350135491,2.344260852115325,2.2802786959051624,2.428043346777324,1.9576592071092218,1.764206772228743,1.436988554446462,1.3618383930791806,1.1766714526887359,0.9932655459870275,0.48210717495262706,0.30748873253834275,0.1727511188234479,0.14180864005138394,0.10857654459389211,0.08651473037348123,0.04437906546701749,0.028535449486867225,0.018034303490157295,0.014063913832301971,0.011643877045292263,0.010291373787430627
dphi=60deg,2.5712162166880144,2.565349612009072,2.6007800759739266,2.3986963502253826,2.456478029321646,2.4588417520562826,2.9035841809319676,2.6156026889272055,2.7244929568149714,2.6307774580668593,2.8344252418961036,2.337833355219895,2.2071570411264827,1.9825082108176326,1.720923184209011,1.4588024506205182,1.3420337146728918,1.1783315110735995,0.9972396944456022,0.49172155675097,0.3108328667533378,0.17801534104616035,0.14394084949083083,0.10836800282667511,0.08726689326665786,0.04311501663070124,0.02907199009237593,0.016935056171474158,0.014455427747018272,0.011652088135238678,0.010166453880677669
dphi=70deg,2.586196298324439,2.5544914041901334,2.618063642314952,2.3207155850948946,2.3663568894285842,2.6607029357010057,2.546916368256382,2.4128064596617826,2.8041970086759593,3.506362872915939,2.6802585485655874,2.3893981708919574,2.2919082820542895,1.9635488471428255,1.815120761998996,1.5004243446046925,1.3367238040701752,1.1240912500401132,0.9444822098049468,0.492796345958158,0.294722577603635,0.17525583263382868,0.14630037364070994,0.11210616517716937,0.08685866824534312,0.04353514484049827,0.028805185971781076,0.01750954495497674,0.014387706522682281,0.011381575768694627,0.010169124092147342
dphi=80deg,2.5856670931379773,2.5524724629315587,2.602922496710567,2.417314765380571,2.4623486144102578,2.8753861780740673,2.7129850374793945,2.4213656747938006,2.6491951096709028,2.587338355315383,2.5200304745368043,2.4089028451883743,2.4119462554831737,1.9954062244713013,1.7671053783430892,1.4711334965022567,1.419853500558954,1.1795738163601532,0.9708319307583206,0.47415613594008643,0.3115975181844117,0.17926300496058067,0.14330145064155297,0.11109149585413453,0.08577240046067651,0.04320697690956175,0.028697507369967096,0.017443224588850927,0.013748655735843452,0.011400747827914044,0.010068398180753845
dphi=90deg,2.585120588010003,2.5425563216154567,2.5862064429140066,2.522309076492589,2.6568238104288726,2.9367665369934355,2.704562891656565,2.758523929110555,2.611301292658337,2.825058482291961,3.1533295301889632,2.4154330755300566,2.431595604593943,1.852331586716515,1.7175902388087805,1.524785507841709,1.3742454431895488,1.0889377850859758,0.9828308164012896,0.49374233914008747,0.3070903070913082,0.17267149456137448,0.14730117658670655,0.10510858840407308,0.08503231402179097,0.044305004677517926,0.028228765611674762,0.017539469356351884,0.014225954466591487,0.011342981717846807,0.010013367076580553
