,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,2.530727518191502,2.4989604453839616,2.8581752892416747,2.4257079208038466,2.5497703856394427,2.4674396216749415,2.568987254642964,2.453462942920505,2.8272195071961357,3.2098945358888065,2.5968498971612917,2.3240048365891237,2.1767766428288713,1.8492343746691504,1.5402920255251809,1.2236760738969659,1.118149940092568,0.9365308439910112,0.716290463292226,0.307983228987542,0.21515638401720105,0.12584612635641998,0.10370699949282865,0.0773808718375651,0.063087754944325,0.029555068867573985,0.02174050974277751,0.01463284435721553,0.012767870965810564,0.011198535556295833,0.01015194889696149
dphi=10deg,2.5699798553175284,2.613899284774167,3.0537311770464055,3.5183406008684277,2.462862990144555,2.6735911448520593,2.796510511076611,2.842409776300538,2.653930711785308,2.495752344678882,2.35904775615124,2.340022931928788,2.1618827311827267,1.8446904319424322,1.5752351038177848,1.242965560766252,1.0731282311946557,0.9011011793077297,0.7315711530623638,0.3256316570637242,0.21362657800159066,0.12767748532392836,0.09914539153211656,0.07724792287083697,0.0626754042847972,0.030352164158458143,0.021052609962999822,0.014400252557153399,0.01283465927785122,0.011152559044179706,0.010027565582279747
dphi=20deg,2.6527349877819537,2.6217509709001448,3.0367564134327054,2.751766219503366,2.4331363820833656,2.993126497733923,2.3785989103115246,2.7089399919298423,2.471618306379998,2.572591317768591,2.5741814262643543,2.2774157162604514,2.22355212681309,1.8251124857963616,1.5846995104248802,1.2261158376435228,1.129526939552547,0.9077576757858918,0.6915629130380462,0.32557093089745154,0.21122081659200836,0.12446480340797683,0.10216449362528353,0.07644716928306301,0.0643840392865441,0.031097511109746574,0.020473582777614192,0.014793742708958486,0.013212307703117283,0.011453606205012337,0.009769284985994133
dphi=30deg,2.55576865423351,2.4937082895831817,2.8569740617020485,2.466859352332233,2.6418941539139187,2.5009185293684624,3.312741103475966,2.6044241923812654,2.6847556611692793,2.8135381334754235,2.6137437920196573,2.4857073738861435,2.266342537481951,1.7890152176210938,1.5697579688711412,1.2218894914450618,1.0707987880447771,0.8705983590352933,0.7238148134989519,0.33177244586956645,0.20840049281559309,0.12288287552722629,0.10423537689452594,0.07743093734799748,0.061766889518036716,0.03080780668921958,0.020053644626242546,0.014938214670242004,0.013203260071351646,0.011181165546216064,0.010106756258693384
dphi=40deg,2.5683588489408393,2.614687236754552,2.878175235628522,2.9285286690884007,2.485195279898512,2.8427377774011897,2.569887926395346,2.9389659610890537,2.696535987215168,2.5540906398788756,2.319645339782138,2.470313932436651,2.2402539899442293,1.8655008307535668,1.5725296065511118,1.2625792748196891,1.0706859447578208,0.9169152107235753,0.7489239008600834,0.3266095031080967,0.21266457855710794,0.12774058494555446,0.10306227168471592,0.07680626449680979,0.060840124725522686,0.03071884331757646,0.020810238517338354,0.01462039095166948,0.013349542262329539,0.011244446762694406,0.009808854483570889
dphi=50deg,2.4292864296932537,2.6728915511055322,2.8521123258803316,2.8765407350335686,2.520429896265774,2.9728218078188364,2.480688124159684,2.8091820131507568,2.4814938202114143,2.708097045608742,2.673078153874286,2.3760153722417954,2.27695927442695,1.821414599947427,1.601519079349442,1.2168597783111428,1.0822857449559895,0.8683138907285474,0.7220244490598898,0.3289431575795523,0.21102240833463592,0.12279421435379603,0.10362096528897094,0.07458205742237918,0.06434311640422008,0.030282336858554058,0.020865485184042666,0.014046107697730464,0.013408455178091284,0.01102728269737108,0.010044826575917485
dphi=60deg,2.464425226379042,2.553869363080621,2.7662996837552845,2.786488125164012,2.6765792060795786,2.5280463459361604,3.395615205281706,2.663821022211879,2.5365986297275485,2.8567248136609273,2.674974670341887,2.398655988087344,2.3439724782909948,1.817180932028025,1.5499738516168722,1.2061501851007612,1.0861397392224807,0.9013743152879665,0.7378413033260949,0.31272763509299345,0.21488574803960414,0.12478339803819245,0.10081987757129153,0.0776557359837367,0.06282128623565729,0.030366902087318,0.020392651798743278,0.014638929424934999,0.012948392436493247,0.010778735161011316,0.010210519693356549
dphi=70deg,2.4936834537381483,2.654963799838148,2.852479334337768,2.6461839244062624,2.8372862943945885,2.8264037954699623,3.063472625409727,3.03510465896993,2.7317506342239137,2.5498127949554883,2.299883821013976,2.503937085142391,2.1658396863848557,1.7377984734086722,1.525222183928432,1.2116173884765873,1.1176677675667592,0.8607133079224704,0.7323269741812534,0.31394613525501536,0.20962669465832118,0.12680380160688964,0.10262999245514928,0.07777608420910137,0.06172794180778283,0.030487388763820428,0.020400953460821183,0.014299475156385275,0.013747431951591827,0.01157741540223479,0.009621453979077037
dphi=80deg,2.508572565132854,2.7435240017626823,2.7461533841277133,2.899845225634053,2.505059105604191,2.883680750531594,2.455105748822082,3.0920043152439494,2.4575936290462446,2.7605634071812406,2.3707138120494866,2.2833391999102743,2.3061989096033653,1.7790781758146041,1.5809552932378232,1.2447285198135731,1.096437088878358,0.8747605675716165,0.693744771528377,0.33422706319553425,0.20789539968133874,0.12161851877364277,0.10603660515465928,0.07738096345951495,0.06106185173078435,0.030561936077913444,0.020165148644256045,0.013970330236084927,0.012970196230716359,0.010681460858040632,0.009978068306872503
dphi=90deg,2.6149516347169772,2.5524992894124754,2.8952758606724114,2.8489237363035746,2.9663589784016255,2.5602361552085067,3.18060184855375,2.625338253336754,2.497248991098878,3.10895704364156,2.3855685540329072,2.3666972619822904,2.2896252735737814,1.7941639595898606,1.5951667754808003,1.262745865967685,1.0988340380023252,0.8930619071558192,0.7227906832160925,0.3373449765012385,0.21099686877169674,0.12444118794521353,0.10104026025602755,0.07828329434510078,0.06048420271527708,0.03090666131215317,0.020180634183072466,0.014518123453233939,0.012868367784517767,0.010781401733036091,0.010175330449750481
