,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.0005210496100694758,0.0010423257239065959,0.0015682570413891607,0.002615640780839965,0.003143540691492106,0.004184319457099648,0.005239022808478766,0.010467259780478463,0.015637763752054234,0.02598667066308666,0.03124537641575811,0.041780662062522574,0.05226625580824755,0.10498606035111945,0.15734186597653052,0.2588886675246039,0.32115893542048124,0.41534246929803204,0.5211953871457564,1.0635387024463956,1.5747453123899422,2.5885708494494035,3.1064211680928033,4.141052925678388,5.258191114252114,10.395411922668416,15.902155160120875,26.757972815832833,31.27578630220303,41.061606939076974,50.074674479438414
dphi=10deg,0.0005210281364016614,0.0010426483776253337,0.0015624029742102889,0.0026176733827830228,0.003140850517853002,0.004197872620307719,0.005236338848200096,0.01042855076189512,0.015951825979185565,0.025951111309207197,0.031508332820103936,0.041030544600445265,0.051744453794025314,0.10412986341335609,0.15773357771495058,0.26361145461086316,0.31477363541276454,0.41545489766982535,0.5265297145699873,1.0252786943300152,1.5749262120641871,2.623402331287661,3.1049941365863503,4.128520074495529,5.142520941766952,10.405135280281057,15.63559790836035,26.287567226100165,31.011812013126573,41.26406472117377,50.821529287349755
dphi=20deg,0.0005210269149645144,0.0010426251715925368,0.001563933886299918,0.002612168438979266,0.003144487240624715,0.004195895212692622,0.00524794026786848,0.010437232964386329,0.01569342337611378,0.025905828042649393,0.030624357565589788,0.040729154675663154,0.05197340642061404,0.10679362072669986,0.15509280028896352,0.2597425989098079,0.3100647238288895,0.41455147597538716,0.5164419341266105,1.064527709324324,1.6002585125354816,2.6006857002232584,3.1154568453761184,4.238239814666202,5.118144554867997,10.423544852293968,15.821999508023247,26.4387464060284,31.350006484379765,42.020510358321474,49.79400149972058
dphi=30deg,0.0005205831359819216,0.0010424043170890315,0.0015639298603932132,0.002605977214401203,0.0031286998836325412,0.004187598723059713,0.005199305646275343,0.010408088708130954,0.015533368962095038,0.025688976816672458,0.03143174957054743,0.041425931469810696,0.052010884004104786,0.10155804759206553,0.15781837538048754,0.2600902486304095,0.31124941128812994,0.41149880093068586,0.505204268749104,1.0376378823616252,1.5794882943230144,2.59852091934847,3.0947675892388915,4.189698749762376,5.295471830223986,10.279354879947912,15.941902728057167,26.335238326901997,30.435867942064856,41.43731909624079,49.445368251508924
dphi=40deg,0.0005205360428050348,0.0010427542919725723,0.001561373230642376,0.0025993555530003276,0.003117276857077922,0.004163558709262511,0.005185798559262063,0.010336739676476959,0.015419813746508628,0.025870453816899393,0.030844595036022673,0.040741487929956646,0.051792597158034914,0.10271510935720439,0.1547184832742481,0.2597925311142419,0.31562941653113363,0.4243783684524442,0.5239163877801718,1.0472486173265767,1.572896868908083,2.638971294239001,3.1278404185305484,4.148613421422476,5.324800213157174,10.412249614511758,15.827406485380507,26.91928827330107,30.967071038175906,40.91107218387731,48.50904889246709
dphi=50deg,0.0005206048598306346,0.0010400822414035093,0.001561098190222125,0.002594222727414214,0.003112348756233337,0.004197055248118706,0.0050769478037150685,0.010297158282621132,0.015652933802954704,0.025618214797916733,0.030982876976041324,0.04118944706630997,0.05242145304942242,0.10225561518044579,0.1527240391636554,0.2583105483809514,0.31756419173345757,0.4226393859260511,0.512209760798307,1.0429903982625905,1.5610803108587987,2.6041509255430664,3.0606155836926785,4.056298126152999,5.165660469650924,10.301326228213416,15.471215924055572,26.64499462711143,31.963254707290858,41.34088215406053,48.612523814070855
dphi=60deg,0.0005201748664289273,0.0010381843515234657,0.001557559539042785,0.0025939687436134125,0.003106913098588373,0.004196561948806209,0.00524905976276608,0.010358210864213756,0.015600883655469059,0.025841129193566466,0.03116514152989248,0.04166229809964176,0.05208537026193206,0.10294010993763461,0.15728461042572933,0.26197934379267623,0.30953190548601106,0.4299781459184549,0.5161561139554616,1.035503888333518,1.5584160719906899,2.5927713776238153,3.107071605677227,4.194233876828209,5.144619039228469,10.335118537077843,15.625653349783121,26.52758900501902,31.50133577056494,41.43470131042084,49.366394740293906
dphi=70deg,0.0005198537091483971,0.0010380107069638232,0.0015573473037277766,0.0025879815811260657,0.0031025482023696663,0.004191295468281758,0.0051803078567625605,0.010392533760643929,0.015563311920388482,0.0256677307593886,0.03094660303571948,0.0413896383762899,0.05271460417926732,0.10303706451151126,0.15489500971017434,0.25508761887707493,0.3105953870311003,0.4165277547423561,0.5158487745324406,1.0452030738849034,1.5846035009573165,2.6221638390729702,3.0949118745887128,4.183780685071889,5.2972598334266685,10.46639874159156,15.51606680782217,25.483195631319767,31.89849213620472,41.962032074766,49.243069703212264
dphi=80deg,0.0005197085727457325,0.0010371281897941194,0.0015575263076348645,0.002590741837836016,0.0031109870424701324,0.004194315699285832,0.005223491070424692,0.01036254089455059,0.015510872332085795,0.025714357128920593,0.0315334497432429,0.04158635453385402,0.0518741258440868,0.10556522290408434,0.15555782366304244,0.25920649561201636,0.3087951600699282,0.4223727756591994,0.5215712117298866,1.0439923846807324,1.573401538618591,2.6365155365154407,3.126817835058105,4.167361991831351,5.336422511932907,10.328100497573205,15.274139018557962,26.867701915614898,31.668897286660332,40.77423658514367,49.60804647193231
dphi=90deg,0.0005187363189953666,0.0010366733367890792,0.001555005879152429,0.0025910212744829106,0.0031137800735716865,0.0041449301120015155,0.005137683558442803,0.010341424593657713,0.015632742937555465,0.025829224494630355,0.030300193428108545,0.04172169345855687,0.051807627416887464,0.10353907639063817,0.15766526753328172,0.2682856863433485,0.3084370547552739,0.41697520409137645,0.5290922715735932,1.0321314833844202,1.554498463858244,2.6046101161742055,3.1325995718599238,4.157424438081206,5.287263790823608,10.385915348110766,15.657097551324947,26.715357700389276,31.067452661704873,41.41244245754172,50.6995459357691
