,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.49700248502314326,0.4970155198509102,0.49971133167272563,0.5041849542872169,0.504451928243319,0.5102622529451143,0.5000093005737613,0.5358285840337004,0.539915663646401,0.5292570126367601,0.5272175243024514,0.5352062969837036,0.5511935593401313,0.5628913880863743,0.6229718388240807,0.6797404284326044,0.669475771372091,0.7431998508943799,0.81485679108039,1.2895309449331198,1.735553179068047,2.8050360674244823,3.312067881928221,4.4107280490474015,5.4745351139808065,10.900692272651563,16.3296563267933,27.10960570094189,32.54806332552865,40.222957953079145,46.42262384446336
dphi=10deg,0.4970139976901492,0.4973945205763116,0.4976266402662356,0.5021170624785588,0.5070312070833066,0.5056815524239885,0.505698926007024,0.5301693229391232,0.49860597457317646,0.5279539273724444,0.5121503664074966,0.5582624108519206,0.536054161627551,0.5715019789035077,0.5804357068230058,0.6491578584403842,0.6761036243159576,0.7567563791983926,0.8286396007792615,1.248785176077269,1.6903927305798665,2.783625025466097,3.2991757537790636,4.413639274486401,5.444230424474431,10.86943704861198,16.30021848606629,27.08629057612903,32.527658681159565,40.16655031392587,46.44931604088341
dphi=20deg,0.4970064505773689,0.4973955642197695,0.4980530417603647,0.4967294219948085,0.5027092216768697,0.5016216701303317,0.5012618305040645,0.5278091761057652,0.5108533821414368,0.5433202101377156,0.5548403608596905,0.5778104486432495,0.5406597552825262,0.5592382487284554,0.623791909041664,0.6664956774059648,0.6660156140562347,0.7647599254591825,0.8253816225512666,1.2258793101786725,1.6913815069430718,2.7627001638274655,3.3392240509387348,4.332547025070836,5.466893623320287,10.873396324033598,16.274140694809716,27.084521926239763,32.50002457405857,40.157813287790184,46.4236949807441
dphi=30deg,0.4973724415750608,0.4974465952715529,0.49802862650453295,0.5006084002164358,0.5028523776982713,0.4966775622687637,0.5058140819822611,0.5328501611230784,0.5228624523370292,0.5422292617196175,0.520048712292979,0.538456946769014,0.5307946883846067,0.5933617412433,0.5819209339642731,0.6361368206987555,0.6850892837941093,0.7642954238810081,0.8105227925098707,1.2300148827059623,1.67887834460294,2.7429132390131494,3.2868442904628155,4.338521887827537,5.431055430229952,10.838400817393167,16.266194288318044,27.066710893118454,32.51179320649272,40.12003525682715,46.410946688185376
dphi=40deg,0.49749233129628745,0.4969100416399671,0.49673102191950147,0.4986268024368544,0.49969535965752276,0.4999913373647972,0.5054625526331821,0.5208116073419847,0.5351482843638223,0.5269774224471581,0.5326681695034822,0.5473360489296263,0.5405924320141445,0.5633920850220989,0.5947992213270709,0.6470042021194476,0.6666975581999196,0.7005513372603923,0.7882556809253466,1.2024314774011016,1.6439616253607112,2.730546923942404,3.198971856861017,4.3210228486957565,5.343896956338406,10.759674893241566,16.158321159127276,26.994612085603226,32.45725142953809,40.15044873677632,46.4173166294972
dphi=50deg,0.4980415286375143,0.4970270978847696,0.49673614066043237,0.5004637177206396,0.5011711609406976,0.5077526002477096,0.55808027985285,0.535806613562318,0.5166611991619768,0.5243755349126676,0.5245264067966492,0.5419186728618993,0.524421997380723,0.5984463501232075,0.5698825530224464,0.6076347135333323,0.6374592467987977,0.6938003990918843,0.7738668079410592,1.1728665348744616,1.6341540038356,2.5608491241288487,3.1663585338824904,4.232836866916799,5.302411330528096,10.658243067846655,16.120852110005185,26.952986167475665,32.367818584682915,40.06075801284108,46.317052722760025
dphi=60deg,0.49594538031913504,0.4990771732730691,0.4990149838318362,0.5028315520106904,0.5061429182239917,0.5057679943828085,0.5037435902081052,0.530939003654351,0.5200036046445181,0.5274390926201104,0.5286061524910638,0.5316234031859878,0.5402287116618253,0.5581920505582404,0.566257629122877,0.5901209525480177,0.6108384696509671,0.687547274377505,0.7400752623323502,1.1113636136189684,1.57874713322337,2.5537010253146026,3.053537080164083,4.112990102588035,5.218192151369882,10.608572044925735,16.01531667897922,26.89738803927792,32.336616920451405,40.01116763426984,46.315220594887684
dphi=70deg,0.509109235274993,0.4989944292108369,0.49898150362527527,0.5026708300702644,0.503083945878514,0.5090514678589576,0.5385141761769162,0.527910253994797,0.522937944820559,0.5363217469497953,0.5273044136985213,0.5249981069946951,0.5172713564500767,0.5369574333624992,0.5647025278933736,0.6132638124037827,0.6232202082301807,0.6543530308543756,0.7177108716371626,1.0725355138085555,1.5015137066673203,2.5621748648234597,2.9892472187233023,4.117377812595704,5.126695937422405,10.521274251465833,15.914391848609585,26.793956109268507,32.23920788740208,39.96606846884775,46.2374051726572
dphi=80deg,0.5093539257840508,0.49772843028040825,0.4963901540643717,0.5013222202987694,0.49823863487423703,0.5111128055519786,0.5079680243309613,0.5298582923599494,0.5176083433322324,0.5363091178154392,0.51394710068244,0.519541964631672,0.5332307594836724,0.4986841285806026,0.5515298783307522,0.5645161692344368,0.5895026328579166,0.6346044642003635,0.6854983243296392,1.0008198028978241,1.4497498086484994,2.4287999627664894,2.9328663421302257,4.00910453110529,5.049569862486648,10.4478421946622,15.863015658991104,26.682366751934172,32.14102899766991,39.92959991740915,46.18135116899925
dphi=90deg,0.5105147956555044,0.5100833543105611,0.5098401976854717,0.5003111798345209,0.4975614493546997,0.4997706779503116,0.5205348421882551,0.5340650515386179,0.5249422083435639,0.5138915577395765,0.5380025988049056,0.5181172356430254,0.5289397562884893,0.53510598775587,0.5188774077046713,0.5407038668775109,0.5926409913727585,0.586729233590434,0.6120737903298429,0.9026197385502478,1.3475727050964719,2.346365113728735,2.819170170197981,3.89027223361191,4.9822586657908765,10.334656101618162,15.727815014692476,26.55636025447083,32.032169525573615,39.83537390040937,46.14806932119374
