,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.6193521428956167,0.6187950130827313,0.6053613418135408,0.605954485853212,0.6119930952851198,0.603467852250714,0.6057600042066673,0.6113779486998836,0.6190503342087543,0.6189296315876801,0.6040906694595196,0.6168667128749701,0.6296845548209301,0.6392386932156879,0.6372591531257681,0.6513267357270127,0.6781219424916797,0.7194022410883628,0.7816220108592751,1.222979023729787,1.6966894711665472,2.7721686758659843,3.292570640205408,4.386638627722334,5.465447608544403,10.853406895988915,16.255144719856823,23.39931352658266,26.304086461875443,31.92001613785571,37.44482585992605
dphi=10deg,0.6205235054146296,0.6139641405217879,0.5979959870572514,0.6048466460566065,0.607231216445044,0.6126106553507444,0.6168789082046431,0.6150462129493801,0.6093631869340232,0.6263624369830932,0.607590989840542,0.6274323106929218,0.6100811696271145,0.6307731529941694,0.6509597760135221,0.65988197982597,0.6857179726104793,0.7135285168638278,0.795290940848383,1.2255881284765806,1.6901423711114096,2.737852261978157,3.3141951171322033,4.386415354335726,5.408858656617541,10.82471695237885,16.26763254316198,23.377371200326394,26.271930369761048,31.930255117662202,37.46315131089905
dphi=20deg,0.6041179772355618,0.6104807862250461,0.6056013265102518,0.6176398647602874,0.612126298583719,0.6118380293240211,0.6026100396484886,0.6109292676097124,0.619183243287152,0.6377679671755161,0.6274364306309662,0.6113094810879567,0.6264998700326156,0.625449633058374,0.6527078675343967,0.6462130661329214,0.668646296564588,0.7018625919691378,0.8014132553353741,1.2009675805820674,1.6948512233173154,2.735689535166668,3.292341758853005,4.382395747512373,5.451655458978067,10.878882087458681,16.302397166351742,23.35826639198128,26.284371838997473,31.93020531497845,37.44122542299888
dphi=30deg,0.6091688209245878,0.5984632655728799,0.6047078583801105,0.6019280585047205,0.6226466587242736,0.6115961462184885,0.6096828373505263,0.619931716320137,0.6198484840258678,0.616034193146955,0.6072428118123955,0.6135782294907334,0.614607389816048,0.6208942012888027,0.648502537276692,0.6429352263122496,0.6764190773755336,0.7209440530104056,0.7745025420405787,1.219102863073702,1.7281241714388769,2.7892262149072464,3.295386952114905,4.37273731423636,5.442056965977986,10.853782833288168,16.271629249346304,23.35093232573815,26.28976013835163,31.928962781446053,37.44755762714743
dphi=40deg,0.6255589850224712,0.6251515269067858,0.6107390513546496,0.6026425131831767,0.614297753049531,0.6082536397896088,0.6038244606838402,0.6180562120240278,0.6109765691293269,0.6186761979388772,0.6087395473710316,0.6135684104322157,0.6236606958421265,0.6340537267036098,0.6516892450168285,0.6539113844973048,0.6816146547761923,0.7125889178787309,0.7939182407324236,1.2176753221667616,1.733971864594026,2.7987576277315025,3.316452304550385,4.362338544890418,5.455300769513446,10.87416463107046,16.26878199784036,23.384868750528007,26.27849434689014,31.89772495972001,37.451225329490185
dphi=50deg,0.6120796659312738,0.6240061577358125,0.6028737511867779,0.6104807862250461,0.6168576032033651,0.6086046939812568,0.5963230340167851,0.6147124067555351,0.6250255001711795,0.6334708294146404,0.6160623418759765,0.6075736658515436,0.6236721564333975,0.625321581353895,0.6300791901544944,0.6426597985144962,0.6870210391525922,0.6945477350186712,0.7926072221403551,1.2219981277154184,1.7157157280741884,2.7629553755200886,3.2958727976980438,4.390322879056299,5.476411553043286,10.87293528063663,16.267173846260803,23.362239901417333,26.251990551033828,31.924849563495123,37.47716438244424
dphi=60deg,0.624449208861985,0.609270546981858,0.6052844658075067,0.5979571214494547,0.6096682129745878,0.6141880435768952,0.5989549633196491,0.6148104027687018,0.623276175788458,0.6255933702724278,0.6058958998320911,0.616399469493403,0.6328137504314122,0.6236388613838988,0.6471288328419684,0.6507385454989213,0.7116450364730468,0.7147852384261375,0.7750968637310918,1.2272695038863892,1.7040004673307143,2.7473691036875367,3.2875816021039235,4.385003389728038,5.4448828169713686,10.875012245176178,16.26142611768266,23.37390891634436,26.290604077264142,31.86032694670294,37.38452661746781
dphi=70deg,0.6203704058876042,0.6097201760429298,0.6067518395012632,0.601195423153142,0.5975020259642494,0.6150119263457767,0.6097920993712815,0.6245859389447421,0.6105050986666096,0.62205147071917,0.6059757278536347,0.6012368306626306,0.6014628994046467,0.6406463036306319,0.6368251732557864,0.6365835404699342,0.6876515836336301,0.7115975848373279,0.7716270068699465,1.238937276409307,1.6971883629821551,2.75121213393133,3.2880792412680115,4.371833635802956,5.454317867964507,10.859200976066198,16.307710483833965,23.334529020050926,26.30416451253319,31.9027869068004,37.448872114139476
dphi=80deg,0.620452814725042,0.6088577705351796,0.6108039011492625,0.61185072128154,0.5991930983025922,0.6136790713336393,0.609349892755944,0.6152736422785211,0.6185819841620817,0.6425499392676064,0.6227725253110318,0.6132533904475392,0.6179565878324236,0.6236266992281679,0.6331737863990058,0.6461847680914995,0.6843743701714786,0.6946931743506382,0.8077519011794505,1.1812243782818428,1.7146920573567472,2.7294308995267538,3.3005796266672367,4.3673711450334025,5.449937206227346,10.867849638762152,16.294007324438816,23.318630213475288,26.283896536228664,31.878751534014487,37.431342587046224
dphi=90deg,0.6222917945292936,0.6084788100799472,0.6018617032114301,0.6063906770278735,0.6106849469855584,0.6155832189326529,0.5995931298186495,0.615653447604569,0.6311364867474871,0.6252278107976963,0.6109876359582593,0.6061642856752844,0.6226947886822509,0.6078060140534376,0.6361545259796851,0.6433388772527577,0.6934124738712888,0.7133713286256126,0.788359251528189,1.2301389628452521,1.703409856481879,2.780167304208608,3.317100780927543,4.374027327282301,5.464310434214798,10.879413156289132,16.294265600782072,23.370847442030485,26.2810379606631,31.87050078932718,37.3823754161362
dphi=100deg,0.6184333512717972,0.6076694049016345,0.6134516151830225,0.6046592964294535,0.6075662365620538,0.6126170663650452,0.6055029107316214,0.6252950703539195,0.6116273420444307,0.6085285872220895,0.6221369489825377,0.6056175052145993,0.629578757062846,0.6097636816855925,0.6287342843059659,0.6517515199476465,0.6467250522828992,0.7167693290296894,0.7758976870792336,1.234530737001903,1.7321273685594036,2.748447432562924,3.2901262177316024,4.349570261558572,5.446490191121029,10.851589831944011,16.28514407982943,23.328845217023016,26.244373840257353,31.878286699358355,37.42185544209994
dphi=110deg,0.6122620465514699,0.6107925709796127,0.6125645245154863,0.6086231671772583,0.6015380355805307,0.612811667850119,0.6047452958895956,0.6235770962843097,0.6179037535970724,0.619221636429534,0.613609489439386,0.6025743586294308,0.610194637867306,0.6318137230969527,0.6333517996836489,0.6481812306151422,0.676806532403929,0.687876762052079,0.7807913093589998,1.199482497213985,1.722900642578645,2.7664125112640283,3.2669033856604335,4.391961269589029,5.4432276185372395,10.866369909896392,16.284854201699957,23.335606233527884,26.238775578769545,31.914028072617533,37.455925762347675
dphi=120deg,0.6126471735075829,0.6110896541160789,0.6085226922433349,0.6076080246486111,0.6095144224106386,0.6100032123273684,0.6044938615315234,0.6177623792584455,0.6211582146019037,0.6143680615867251,0.6070068333600933,0.6111765860198901,0.6157941308695256,0.6328372148083616,0.6477920105556427,0.6487787258613817,0.6864731716901393,0.7003659510781017,0.8019050431001243,1.2142254278835738,1.7207672927159645,2.7403954225837657,3.2846257097028717,4.35599165065663,5.445230506241838,10.859049027350881,16.292713541143595,23.33787359359862,26.355907539750305,31.94052121651434,37.469505058815024
dphi=130deg,0.6109309252508011,0.6046159451725386,0.6104443751377662,0.6054789611838325,0.6111224420411617,0.6157166912128674,0.5994294182857159,0.6287962042426289,0.604697301082805,0.6054174058473705,0.615342275890025,0.6068910713866283,0.6217863850285512,0.6052869401952798,0.6079005745945012,0.658953150293708,0.6479059863600127,0.7152493845327863,0.7837960973302753,1.2147847090723065,1.7048186909612453,2.7757773994565236,3.308115103972715,4.36384363441697,5.447285328682203,10.84915429307889,16.264111278437,23.340811677529356,26.30362404930992,31.960269666689594,37.41286140422374
dphi=140deg,0.6070551302217384,0.6009968684474518,0.61635246419474,0.6107436809188397,0.6156529239373907,0.6100619462606496,0.6033851039151804,0.6311594857476794,0.6030244301769443,0.6313787963663644,0.6142758001282151,0.6078899057100732,0.6074508685731732,0.6277762598330807,0.6335336009783358,0.633827681501516,0.6655416263014393,0.6829751982340043,0.7782261345071699,1.2068295826910291,1.6844558427559915,2.7145797019640234,3.3227061339602595,4.387315543113912,5.468614506897785,10.91750951602406,16.275608400345057,23.32672001014977,26.2947769284091,31.8768436854396,37.46272057949371
dphi=150deg,0.6017596186375707,0.5994110407651976,0.6076639366912446,0.6092643292634217,0.6066521444204871,0.610124022167256,0.610439528138313,0.6162194881802096,0.6268691947059633,0.6210719835442345,0.6169712087299375,0.6085292022332047,0.6130818557755136,0.6308103656081847,0.6492676459284953,0.6457904078073542,0.6823521289506721,0.7188900130177387,0.8040639291919887,1.2097045918229348,1.7101489538098567,2.777873522072718,3.288402709748418,4.336885975749656,5.450712169580681,10.858828213490348,16.29110653434136,23.332134355455945,26.276918105601585,31.86689867322193,37.39174379402677
dphi=160deg,0.6090979195745552,0.600280300935556,0.6095228477542518,0.6145794867292145,0.6080520362020481,0.6081991921476051,0.604156316574263,0.6146423719849403,0.6015526866300871,0.6107864301988555,0.6184776099470873,0.6179930008520542,0.606763173828188,0.6278424990590132,0.6543116141749759,0.6554235753618654,0.6652058470358742,0.6879319191365711,0.7969264437171476,1.2049031384384246,1.7195295280718554,2.77545895786912,3.299013597049803,4.383109319545861,5.430303346698814,10.849827966704014,16.33106978481127,23.35451853679813,26.27797082610362,31.902743338523322,37.34760852103091
dphi=170deg,0.6090245440162493,0.6019067787058544,0.6134999991250649,0.614237594623045,0.610461139690013,0.6033333365413079,0.6051250707712489,0.6253433877763108,0.5986484755782041,0.6312209898239929,0.6073215239641985,0.6140968715108739,0.6123586833993032,0.6382704433058135,0.6191241382479772,0.6405272627584504,0.6704598765929777,0.691845860536902,0.7987338031889666,1.2080728610687206,1.7134549301005522,2.7476630894035687,3.300657031618784,4.374067956297506,5.472061478917233,10.843230197618443,16.289867338431563,23.32771448423305,26.25795651480604,31.82942547221844,37.38733055707542
dphi=180deg,0.6123691636423617,0.605505176504308,0.6094203171073573,0.6167237741687077,0.6086905268437786,0.6108370203826833,0.605596439600217,0.6073332103683078,0.6274225772923563,0.6302021081863667,0.6139964364433221,0.6059262105740207,0.6076994143835787,0.6342382520718217,0.6435164985853177,0.6282385574344637,0.6887580986706194,0.7045652794076723,0.7935770829750981,1.2513939395288478,1.6936724525839546,2.7490923065867916,3.280313791312347,4.387869263828396,5.437772243527624,10.868713105543751,16.293816915171874,23.32723891332172,26.26923680833292,31.875115963827344,37.38440485234031
dphi=190deg,0.6111740007797242,0.6050490960259578,0.6111486641196577,0.6064007237521974,0.6082834502616211,0.6040279478213343,0.6100546225979901,0.6208408602649275,0.6071919432276337,0.6255985102667058,0.6009374267787173,0.6146952105612382,0.6119012891015045,0.6343815346004716,0.6159340122418862,0.6697852486525901,0.6576605921191088,0.7071672433543884,0.7698594194542514,1.2268920691461647,1.7150708387053346,2.7604892434337955,3.2904374315988107,4.375614595383743,5.464908001963787,10.862519720693797,16.278974051607854,23.304372703055357,26.29033612605535,31.88919675055955,37.39834905043037
dphi=200deg,0.6182372152696828,0.6081331603507669,0.6070798290616657,0.6124962333041646,0.6061130522904568,0.6122544114868094,0.6090979195745552,0.6268469805884547,0.6115717859821892,0.625891803094047,0.615695318495159,0.6176994465208899,0.612186385568281,0.6162329310083077,0.6235625768063375,0.6458081755673778,0.6364864827942935,0.6881243882660801,0.8056222783065909,1.2214148785656953,1.687526697573055,2.7382876929442492,3.313691168429876,4.353324754945495,5.445127427988269,10.899379675906058,16.261077007836967,23.34076549745705,26.259266693451053,31.840430277611386,37.36852936746659
dphi=210deg,0.6082220029540217,0.6116896040934698,0.6158684653827058,0.6090979195745552,0.6082994811620537,0.6064880481793219,0.6068199571949235,0.5995386351513137,0.6323311239740579,0.620072883381904,0.6175623097455243,0.6071888997747915,0.6055668680848343,0.6337699701254227,0.6390570122171871,0.6371489710556508,0.6752447683564307,0.6979755505634075,0.7904189739103363,1.2477691490695504,1.7034516037639191,2.7650546820420554,3.296909075062559,4.370032262781692,5.420028788040719,10.853210134935244,16.313849729158385,23.316263465028463,26.304327878320056,31.899354466589436,37.400060124597076
dphi=220deg,0.6106045116225705,0.6127288292335265,0.6173807547811301,0.6118003544372639,0.6028843169403558,0.6075557969832194,0.614171586662191,0.6187015973886089,0.610477824271233,0.6209251503643611,0.6140194230743667,0.6227153648734642,0.6135460299734286,0.637158291907427,0.6248017281807484,0.6485019023745813,0.6714617415170359,0.7134695103640096,0.7675361858618036,1.1920787667688795,1.7194256607164664,2.771861842728822,3.288819188168449,4.379767641503847,5.458688320135769,10.870381752689408,16.293796318300366,23.323407581200975,26.283199186695427,31.92355003473323,37.420733490922494
